회사명,종목코드,회계년도,종가,ROE,시가총액,PER,PBR,PCR,PSR,PRR,RDS,RDO,RDN,ROA,판관비,EY,수정종가,수익률
보령,003850,2016,62000.0,-0.6500895940646567,522660000000.0,0.532368328953723,0.7880995363060831,0.6193308415224087,-0.2622329398312749,-0.1916573010419595,3.0788416187966243,1.8287401274981758,4.141091084227047,-0.7139494209439045,-0.11707155196845312,-0.3558558952384538,8087.0,2.747477931904161
보령,003850,2017,48000.0,1.7124601218547018,424320000000.0,-0.4585192915241174,0.1958535426743659,-0.4806193723815882,-0.28678597493007324,-0.19232021921604403,3.3565454703109276,7.011952610733691,0.24441144986295046,2.37494656687749,0.1277689926005174,-0.7873861117000479,7824.0,-0.3252133053048101
보령,003850,2018,9980.0,-0.03563613972272693,441116000000.0,-0.38554671965139414,-0.1686055303297679,-0.3153037640921759,-0.32334271607717296,-0.19236558774165263,3.2783994243600105,1.9331457986614862,1.1992849277684126,0.04516744166412796,0.07220749280579014,-0.25958762421036885,8623.0,1.0212167689161555
보령,003850,2019,16600.0,0.43115795737424306,733720000000.0,-0.3531732195693728,0.3264513771675138,-0.23518086554661594,-0.279147252899336,-0.19147709066500818,3.150313215218805,1.264819308516038,0.7571229910731664,0.4943034111033408,-0.23053024207476414,-0.3970457188393515,9136.0,0.5949205612895736
비비안,002070,2015,10100.0,-0.4083569366394401,69366244500.0,-0.45305516174620825,-0.672773914652153,-0.4806193723815882,-0.3528063581957309,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,-0.14362294735890793,3.307176058202956,-1.2564990530789815,4591.0,6.245576786978059
비비안,002070,2019,20500.0,-1.2442994268488097,140792872500.0,0.13060790506831094,0.05310707241441344,-0.22593591571443591,-0.2944246969608105,-0.19409881842380786,-0.4527664034010679,-0.3132696036014121,-0.24103379549037127,-1.506035048990011,1.1883055728250247,-0.6885698087573496,2620.0,-1.3101160862354888
비상교육,100220,2015,8130.0,0.22753094052837106,105663504330.0,-0.4765567951995813,-0.5057301728585916,-0.4264419782037591,-0.3058827800069164,0.746340912648,-0.4474943332374495,-0.31239942539666443,-0.2402685174392752,0.6967325088171976,0.09234451214271193,3.586189926386625,9890.0,0.4766949152542366
비상교육,100220,2016,15900.0,0.6669366084589371,206648181900.0,-0.4743828941051442,-0.3356492721233292,-0.41699821224615596,-0.2676891698532301,0.28811426092512504,-0.4326615653689972,-0.3106075115020218,-0.23911136967083949,1.5562570526515638,-0.34943600331523617,1.939184029817104,11450.0,1.5773508594539942
비상교육,100220,2017,11900.0,0.07391757694288846,154661217900.0,-0.399647699723418,-0.3204634774148236,-0.2953227434871417,-0.2529573487939511,-0.17859495288049718,0.009570195661028638,-0.22796041681314777,-0.1775519623561471,0.6651913773791119,-0.05205426980193814,2.146471581140093,14200.0,2.4017467248908297
비상교육,100220,2018,6210.0,-0.8525258096424243,80709761610.0,-0.34665151628606183,-0.5118044907419939,-0.3826030225479379,-0.2971528119717881,-0.19106682342398978,0.6568630576692354,0.2542511131833201,1.0731160366938393,-0.8352125574903656,1.2117596796168917,3.84106829372692,10250.0,-2.78169014084507
