회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
한진칼,180640,2017,18300.0,17.56,59170458.0,1082819381400.0,-0.784737221022318,5.074999999999999,0.835,31.715,21.08,8.265521266685413,0.09412657988096113,0.031347962382445145,19200.0
한진칼,180640,2018,29800.0,-2.36,59170458.0,1763279648400.0,1.1979166666666674,47.519999999999996,0.98,0.0,23.759999999999998,-0.44895910004308276,0.08497371028807481,0.02109704641350211,21500.0
한진칼,180640,2019,40000.0,-17.65,59170458.0,2366818320000.0,1.8837209302325575,72.21000000000001,1.46,43.72,34.03,-9.673495439609235,0.058510547188936744,0.018368846436443792,25550.0
한진칼,180640,2020,63100.0,-19.55,66262510.0,4181164381000.0,21.702544031311156,0.0,2.205,191.77,106.245,-9.790051858832914,0.0217741310085077,0.00408797318289592,81000.0
한진칼,180640,2021,61400.0,1.11,66738873.0,4097766802200.0,-2.9135802469135808,0.0,2.2199999999999998,195.71499999999997,129.69,-0.9506846877960462,0.022911531947009435,0.0035211267605633804,57400.0
한진칼,180640,2022,37450.0,33.64,66761796.0,2500229260200.0,0.940766550522647,8.855,1.45,0.0,73.30000000000001,16.84687758071911,0.025038088705110338,0.007992966189753018,62800.0
한화,000880,2014,31250.0,-8.42,74958735.0,2342460468750.0,-0.41608113887700915,25.19,0.945,10.83,0.475,-0.13180863998505724,0.7302581314906128,0.04965243296921549,31372.0
한화,000880,2015,39400.0,-6.7,74958735.0,2953374159000.0,1.2715160015300264,84.63499999999999,1.2149999999999999,1287.58,0.605,0.08275891875660639,0.7416049061462652,0.04156275976724855,35361.0
한화,000880,2016,35050.0,11.48,74958735.0,2627303661750.0,-0.357738751732134,27.235,0.98,8.85,0.5700000000000001,0.8321058712087924,0.9076012166829996,0.05813953488372093,34096.0
한화,000880,2017,41500.0,9.06,74958735.0,3110787502500.0,0.48510089160018754,26.575,1.4,7.3549999999999995,0.92,0.8183383876116267,0.7472021146195279,0.05959475566150178,35750.0
한화,000880,2018,31350.0,10.73,74958735.0,2349956342250.0,0.8391608391608396,12.915000000000001,1.125,15.225000000000001,0.7,0.47145190726077285,1.0446040872613152,0.08532423208191126,38750.0
한화,000880,2019,25000.0,2.09,74958735.0,1873968375000.0,-2.0129032258064514,27.56,0.8400000000000001,13.855,0.625,0.12675343930904076,1.4020135211726825,0.06802721088435375,30950.0
한화,000880,2020,28300.0,4.79,74958735.0,2121332200500.0,-5.088852988691438,17.71,0.6799999999999999,6.405,0.57,0.38733520112514,1.2032462428083526,0.06273525721455459,15200.0
한화,000880,2021,31400.0,19.33,74958735.0,2353704279000.0,10.822368421052634,24.314999999999998,0.93,10.785,0.815,1.0683873304225668,1.1796766589470096,0.06418485237483953,31650.0
한화,000880,2022,25650.0,26.13,74958735.0,1922691552750.0,-0.06319115323854652,9.55,0.855,26.240000000000002,0.705,1.0623101968106843,1.7669896115894297,0.0501002004008016,31450.0
현대미포조선,010620,2014,69700.0,-25.88,20000000.0,1394000000000.0,3.106252228088342,0.0,1.44,0.0,0.77,-6.749585319060053,0.24054581133428982,inf,77205.0
현대미포조선,010620,2015,52100.0,2.2,20000000.0,1042000000000.0,-5.155883686289748,55.334999999999994,0.855,0.0,0.385,0.27207836539304386,0.3260501612284069,0.06451612903225806,37399.0
현대미포조선,010620,2016,67200.0,1.81,20000000.0,1344000000000.0,-1.4476322896334126,33.735,0.625,0.0,0.395,0.42920386567235885,0.2556462998511905,0.1004016064257028,31985.0
현대미포조선,010620,2017,78700.0,20.05,20000000.0,1574000000000.0,3.636392058777551,4.205,0.805,0.0,0.735,5.35080232143983,0.06391001461245235,0.07745933384972889,43616.0
현대미포조선,010620,2018,60000.0,3.77,39942149.0,2396528940000.0,0.965471386647101,19.605,0.76,0.0,0.715,3.48339208655172,0.04198540702788258,0.03575259206292456,47827.0
현대미포조선,010620,2019,46050.0,2.31,39942149.0,1839335961450.0,2.419762895435633,47.725,0.895,0.0,0.685,1.8096657446461712,0.05346673422427583,0.052328623757195186,59400.0
현대미포조선,010620,2020,48000.0,-0.84,39942149.0,1917223152000.0,-5.530303030303029,0.0,0.635,6.2749999999999995,0.53,-0.340712224174124,0.049415896058405205,0.029120559114735,26550.0
현대미포조선,010620,2021,70000.0,-7.11,39942149.0,2795950430000.0,14.180790960451976,0.0,1.2850000000000001,60.355,0.97,-4.128295404116319,0.034442605264643406,inf,64200.0
현대미포조선,010620,2022,84500.0,-2.07,39942149.0,3375111590500.0,1.9314641744548289,0.0,1.73,23.525,0.99,-0.9217462957468704,0.03612348324813114,inf,76600.0
현대백화점,069960,2014,123000.0,8.57,23402441.0,2878500243000.0,-1.1890243902439024,15.16,1.19,11.274999999999999,2.99,5.120125480047459,0.32347246878450236,0.10570824524312895,144500.0
현대백화점,069960,2015,126500.0,7.2,23402441.0,2960408786500.0,0.3460207612456756,17.685,1.13,22.23,2.7750000000000004,4.549081986560742,0.3482013118258254,0.09380863039399624,149500.0
현대백화점,069960,2016,109000.0,7.72,23402441.0,2550866069000.0,-0.9364548494983282,13.645,0.9400000000000001,9.46,2.18,4.874744149892296,0.4443222318780234,0.11001100110011001,135500.0
현대백화점,069960,2017,104500.0,6.63,23402441.0,2445555084500.0,-2.509225092250923,11.9,0.72,8.219999999999999,1.745,4.459745669369728,0.4672026249752625,0.12468827930174564,101500.0
현대백화점,069960,2018,90400.0,5.91,23402441.0,2115580666400.0,-0.8078817733990151,6.465,0.65,4.73,1.7349999999999999,4.112705308183461,0.5459875358785327,0.15432098765432098,93300.0
현대백화점,069960,2019,83100.0,4.64,23402441.0,1944742847100.0,0.8788853161843524,10.355,0.53,5.65,1.46,3.187820529724191,0.6862467688157926,0.14285714285714285,101500.0
현대백화점,069960,2020,71400.0,1.65,23402441.0,1670934287400.0,-4.4532019704433505,16.525,0.44000000000000006,6.43,1.355,1.2065729560656284,0.7734192874878941,0.08733624454148473,56300.0
현대백화점,069960,2021,75100.0,4.36,23402441.0,1757523319100.0,5.701598579040851,12.58,0.49,4.675,1.2650000000000001,2.6021163227378414,1.1811585834679237,0.12658227848101264,88400.0
현대백화점,069960,2022,59000.0,3.2,23402441.0,1380744019000.0,-1.380090497737556,9.685,0.38,5.07,0.94,1.5413251139679072,2.184706127631613,0.13386880856760375,76200.0
현대지에프홀딩스,005440,2014,18950.0,6.99,97704482.0,1851499933900.0,0.05809347768682249,34.14,1.5550000000000002,37.005,1.33,5.201635767893165,0.09565190187555533,0.03663003663003663,11427.0
현대지에프홀딩스,005440,2015,24800.0,6.4,97704482.0,2423071153600.0,1.2102914150695732,38.805,1.835,40.315,1.505,4.680155121828623,0.08092103680433993,0.032268473701193935,12810.0
현대지에프홀딩스,005440,2016,15400.0,6.39,97704482.0,1504649022800.0,-0.12802498048399724,34.245000000000005,1.6,20.615000000000002,1.255,4.824821166951594,0.1645153682015205,0.052910052910052914,12646.0
