,회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
62,대웅,3090,2022,20350.0,0.5550993720097072,58141980.0,1183189293000.0,-0.5846153846153845,-0.13832261203529306,0.5876653349194078,0.13669944897017872,0.8574930166659841,0.39404047767650624,0.6380344926730285,-0.46643877583691057,30600.0
63,대웅제약,69620,2014,67200.0,0.06877117361849153,11586575.0,778617840000.0,1.4171974522292996,-0.20070957647735338,-0.1810692813027441,0.03316396523949794,-0.3313118729645298,0.15533901920125845,-0.1383909897842451,-0.06859632249980992,71700.0
64,대웅제약,69620,2015,71100.0,0.24041642010950887,11586575.0,823805482500.0,-1.659693165969317,-0.20862172797224993,0.13310921402283094,0.07847893328282307,-0.29779527148173424,0.03175736439733355,-0.051417857276943355,-0.15377901195397278,59800.0
65,대웅제약,69620,2016,68700.0,-0.06936238189094623,11586575.0,795997702500.0,7.725752508361204,-0.10023225439614508,-0.027322358058313543,0.957123549197833,-0.31145018319694723,-0.2700680137898145,0.2605637804122605,-0.44695072849635686,106000.0
66,대웅제약,69620,2017,164500.0,-0.01296465804389766,11586575.0,1905991587500.0,-1.6509433962264153,-0.009627616923613023,0.31805116517192855,-0.1061771356389068,-0.28620928578397775,-0.14126666553643086,-0.3605115372095174,-0.6503644652305001,88500.0
67,대웅제약,69620,2018,188500.0,-0.7641169510212543,11586575.0,2184069387500.0,12.485875706214689,5.151702666790259,0.973146751169936,0.21160984582124318,-0.23903777258596917,-0.9887645021154866,-0.40289361688535275,-0.716761160674708,199000.0
68,대웅제약,69620,2019,137500.0,-0.16499330493594158,11586575.0,1593154062500.0,-0.6783919597989951,0.8341718314392031,0.9174413441973163,0.4808797308752633,-0.2568305363360952,-0.2630107200032994,-0.15909071346163034,-0.6734069047741179,185500.0
69,대웅제약,69620,2020,165000.0,-0.3251955349942244,11586575.0,1911784875000.0,-5.482479784366577,5.151702666790259,0.8929309651293637,-0.14052723989444665,-0.2440031950278648,-0.37421716515363773,-0.279483901157095,-0.8319578055103195,83800.0
70,대웅제약,69620,2021,148000.0,-0.16826273820243715,11586575.0,1714813100000.0,5.692124105011933,0.187055865812355,0.7815201511841243,0.2217984360665304,-0.27379572967923865,-0.29920979171883605,-0.17524266659345272,-0.3102421129378981,131500.0
71,대웅제약,69620,2022,158500.0,0.06468438203537208,11586575.0,1836472137500.0,2.433460076045628,-0.010747921560058526,0.7079890139802663,-0.14819294112661513,-0.2882782118014342,-0.22508097117284873,-0.09899439686265422,-0.2987937711734802,163500.0
72,대한항공,3490,2014,47450.0,-2.176512122147339,58675438.0,2784149533100.0,-2.0882531302393605,-0.5495444326505796,-0.39052161151979414,-0.5145940531857071,-0.40413806877899916,-1.125001386634638,0.17702085836825554,0.38477475462580774,22179.0
73,대한항공,3490,2015,27700.0,-2.5819218471927896,72839744.0,2017660908800.0,3.935254069164525,-0.5495444326505796,-0.40166269291431805,-0.5191546602478833,-0.4004140019475774,-1.20117246750249,0.5922800542974804,0.8261104655287617,30907.0
