회사명,종목코드,회계년도,종가,EBITDA,ROE,자산,당기순이익,판관비,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW
(주)농심,4370,2014/12,252500.0,138090.51,4.29,2224132075.0,64454972.0,511804528.0,6082642.0,1535867105000.0,0.5976095617529875,25.115000000000002,1.1400000000000001,21.02,0.9450000000000001,2.897983115503606,0.3332349044613466
(주)농심,4370,2015/12,439500.0,169643.96,7.4,2418707598.0,117412116.0,553712740.0,6082642.0,2673321159000.0,74.05940594059406,17.955000000000002,1.3,11.094999999999999,1.1,4.854332789010406,0.20712540958121373
(주)농심,4370,2016/12,332500.0,131733.98,11.64,2481287284.0,199229661.0,623601862.0,6082642.0,2022478465000.0,-24.34584755403868,12.870000000000001,1.43,11.934999999999999,1.34,8.02928634200021,0.30833547688726565
(주)농심,4370,2017/12,354000.0,137118.69,5.01,2449898373.0,90685629.0,637985219.0,6082642.0,2153255268000.0,6.466165413533842,25.33,1.13,24.48,1.1,3.7016077890999117,0.2962887069086692
(주)농심,4370,2018/12,254500.0,127175.08,4.54,2532286535.0,84301647.0,583183360.0,6082642.0,1548032389000.0,-28.10734463276836,22.95,0.9349999999999999,16.39,0.9349999999999999,3.3290721975899933,0.3767255544160323
(주)농심,4370,2019/12,240500.0,117515.13,3.72,2653049875.0,71068947.0,639092450.0,6082642.0,1462875401000.0,-5.500982318271119,29.0,0.87,12.265,0.855,2.6787640771359413,0.43687415179934386
(주)농심,4370,2020/12,300000.0,162137.19,7.5,2725528185.0,149048288.0,676898269.0,6082642.0,1824792600000.0,24.74012474012475,20.455,0.98,10.335,0.8999999999999999,5.468601969346356,0.3709453167444892
(주)농심,4370,2021/12,318500.0,134256.48,4.73,2899907794.0,99637363.0,711972360.0,6082642.0,1937321477000.0,6.166666666666676,26.295,0.94,13.525,0.89,3.435880382340184,0.3675034672627025
(주)농심,4370,2022/12,357000.0,134505.69,5.17,3034718536.0,116033570.0,787389718.0,6082642.0,2171503194000.0,12.08791208791209,24.69,0.92,14.965,0.795,3.823536470467586,0.3626012248914058
(주)대우건설,47040,2013/12,7370.0,-208838.37,-24.13,10122312287.0,-718036005.0,584665885.0,415622638.0,3063138842060.0,-97.93557422969188,0.0,1.395,0.0,0.42000000000000004,-7.0935966471037215,0.19087149331004688
(주)대우건설,47040,2014/12,5890.0,459456.37,4.01,10260218124.0,102110187.0,336664842.0,415622638.0,2448017337820.0,-20.08141112618724,30.55,1.28,9.094999999999999,0.335,0.9952048364464186,0.1375255137285121
(주)대우건설,47040,2015/12,5600.0,394243.27,5.3,10152059203.0,142037371.0,384583889.0,415622638.0,2327486772800.0,-4.923599320882854,20.52,1.115,4.225,0.305,1.399099120285144,0.16523569263396504
(주)대우건설,47040,2016/12,5080.0,-381400.99,-30.63,9970246457.0,-754927284.0,562298024.0,415622638.0,2111363001040.0,-9.285714285714286,0.0,1.34,11.61,0.24,-7.571801632546143,0.2663199192763287
(주)대우건설,47040,2017/12,5920.0,439092.83,12.12,8776332436.0,257893627.0,402700327.0,415622638.0,2460486016960.0,16.535433070866134,12.51,1.29,17.009999999999998,0.25,2.9385125151154883,0.16366698458117948
(주)대우건설,47040,2018/12,5390.0,649597.66,13.2,8733846010.0,297330432.0,401374062.0,415622638.0,2240206018820.0,-8.952702702702698,9.855,1.13,35.44,0.24,3.4043470844295323,0.17916837051059198
(주)대우건설,47040,2019/12,4740.0,270138.99,8.8,9697696817.0,201239572.0,490992720.0,415622638.0,1970051304120.0,-12.059369202226344,264.305,0.96,0.0,0.25,2.0751274843654457,0.2492283926683427
(주)대우건설,47040,2020/12,4985.0,488484.26,11.06,9305916434.0,282603723.0,442033540.0,415622638.0,2071878850430.0,5.168776371308015,9.045,0.695,5.97,0.21,3.036817760016434,0.2133491250746924
(주)대우건설,47040,2021/12,5770.0,667987.33,15.09,10457976991.0,484926502.0,500551092.0,415622638.0,2398142621260.0,15.74724172517552,8.5,1.1400000000000001,2.05,0.375,4.636905420783785,0.2087244885114494
(주)대우건설,47040,2022/12,4180.0,531397.93,14.55,11140353752.0,508010239.0,493686863.0,415622638.0,1737302626840.0,-27.55632582322357,9.345,0.81,0.0,0.255,4.560090732386287,0.2841686044635602
(주)대웅,3090,2013/12,40000.0,11080.35,10.74,898471403.0,74723609.0,288641939.0,11628396.0,465135840000.0,856.9377990430622,37.25,1.28,50.44,8.459999999999999,8.316748730176334,0.6205540708279973
(주)대웅,3090,2014/12,45150.0,12379.32,5.75,1010731916.0,37877138.0,279505879.0,11628396.0,525022079400.0,12.874999999999993,47.925,1.875,48.665,11.82,3.747495987848078,0.5323697611335162
(주)대웅,3090,2015/12,56600.0,13840.6,8.62,1242301736.0,54590416.0,309867542.0,11628396.0,658167213600.0,25.35991140642304,114.01,3.4,84.72999999999999,20.08,4.394296040813067,0.4708036735909508
(주)대웅,3090,2016/12,44050.0,5587.6,4.17,1467286018.0,34573862.0,399571064.0,11628396.0,512230843800.0,-22.17314487632509,111.53999999999999,2.19,71.34,13.505,2.356313736780936,0.7800605309820275
(주)대웅,3090,2017/12,19350.0,14159.38,12.86,1549153182.0,85706875.0,430286903.0,58141980.0,1125047313000.0,-56.07264472190692,39.815,1.445,51.114999999999995,8.205,5.532498399503013,0.38246116232446836
