,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,주당순손익,부채비율,매출액정상영업이익률
2060,태광산업(주),3240,2015,-36.76313434475027,-71.72571480736359,-7.706016155893616,0.0,29.61191210892472,7.174372895137601
2061,태광산업(주),3240,2016,-8.855887779620955,-60.21398730042037,-3.937958294401158,0.0,28.3598927888012,4.950721520920738
2062,태광산업(주),3240,2017,-7.949940286403691,-15.255907663404663,2.122115565322793,0.0,27.97267369972838,7.732650058114928
2063,태광산업(주),3240,2018,25.22752048783125,21.722709201212485,12.10921606588907,0.0,30.25798846519729,11.24915214713563
2064,태광산업(주),3240,2019,-40.69184094439598,-32.59824190830008,-9.072995367554103,0.0,25.366718563229234,11.16371533965002
2065,태광산업(주),3240,2020,-77.85702566786544,-10.768722544075276,1.908944171941196,0.0,21.81373657560956,4.357218831400171
2066,태광산업(주),3240,2021,-20.2141918316422,-20.94605074925069,9.785268428227294,0.0,24.28244086480744,17.059524729268084
2067,태광산업(주),3240,2022,510.8182990108035,-192.35001242074017,-8.97110898165036,0.0,22.61392563817948,-1.6028205042635184
2068,티케이지휴켐스(주),69260,2007,31.247048269983352,9.786416090508752,-0.0107759961860073,0.0,33.52749132152324,13.01470352024724
2069,티케이지휴켐스(주),69260,2008,94.93344922823364,179.13167254833286,19.792897374279764,1823.0,46.65955173695717,14.720312116253172
2070,티케이지휴켐스(주),69260,2009,53.664957557352366,60.22652834075404,28.779051131116116,2635.0,38.93935666980521,20.934579814774768
2071,티케이지휴켐스(주),69260,2010,16.346570122887012,40.7025400987612,8.525619272822139,1357.0,30.759302561193387,15.482504356917088
2072,티케이지휴켐스(주),69260,2011,-46.01478523053943,-19.416040778985185,-13.355716001675027,1198.0,54.37131208111775,11.930321991846188
2073,티케이지휴켐스(주),69260,2012,-30.191850223463224,-29.87822394087265,18.04511739647429,1023.0,65.92969916113043,10.378052946233751
2074,티케이지휴켐스(주),69260,2013,3.733118232496792,13.318459476894391,12.217579659533165,0.0,67.11969028130001,7.828809484567683
2075,티케이지휴켐스(주),69260,2014,55.993428193000646,27.984708632497128,28.50403902454202,0.0,55.045738049883454,7.948457219816431
2076,티케이지휴켐스(주),69260,2015,-39.9625814248679,-59.26092753246297,8.25591109605119,0.0,58.65847342930815,8.339382365051673
2077,티케이지휴켐스(주),69260,2016,-15.37553999877354,-28.13372034727784,-1.7132459827375954,0.0,46.282788783023335,11.440393899038185
2078,티케이지휴켐스(주),69260,2017,-6.115579747638958,-22.2968975028058,-2.970389888965885,0.0,55.8439151481119,21.974673227533344
2079,티케이지휴켐스(주),69260,2018,-16.876393889553874,-11.64777328381584,0.3732978038722772,0.0,37.04934432520443,21.471409145138274
2080,티케이지휴켐스(주),69260,2019,31.28053148353972,32.22514723791362,17.39659877302133,0.0,30.02331167904953,18.547668416328356
