회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)MH에탄올,023150,2019/12,6140,0,0,0.91,0.71,8.03,6.25,1.1,0.85,8.65,-7.82,101058662,-5004935,3748048,0,46992295,7828586
(주)MH에탄올,023150,2020/12,8410,87.73,37.65,1.85,0.79,13.28,5.7,1.98,0.85,9.87,1.98,97515830,1156387,4129662,0,51277355,8238755
(주)SH에너지화학,002360,2015/12,1440,22.07,10.6,3.3,1.59,11.36,5.45,1.3,0.63,5.91,14.52,114048206,12639344,11901196,0,213882181,22899622
(주)SH에너지화학,002360,2016/12,1575,13.72,7.21,2.52,1.32,20.82,10.94,1.12,0.59,5.96,18.13,122956894,17574101,11053345,161234,214380015,23600205
(주)SH에너지화학,002360,2017/12,1405,22.84,16.66,2.03,1.48,12.48,9.11,1.1,0.8,8.38,8.53,123261552,8905104,9771675,82098,184672638,13189274
(주)SH에너지화학,002360,2018/12,1100,74.92,32.62,2.06,0.9,48.38,21.06,1.15,0.5,19.56,2.64,120895795,2766802,8883270,96821,180753289,2811557
(주)SH에너지화학,002360,2019/12,1020,0,0,1.75,1.02,11.61,6.75,1.22,0.71,849.43,-3.13,121126250,-3151629,8663622,100899,138161816,-2363194
(주)SH에너지화학,002360,2020/12,835,0,0,2.17,0.62,51.03,14.66,2.12,0.61,0,-7.71,116570206,-7218778,8066987,118740,91354318,-7104116
(주)SIMPAC,009160,2015/12,5600,11.96,6.98,1.08,0.63,22.18,12.95,1.09,0.64,7.02,9.17,369348917,19448583,18179952,0,213152303,23630499
(주)SIMPAC,009160,2016/12,4740,10.51,7.61,0.77,0.56,5.67,4.1,0.8,0.58,5.51,7.32,366245273,16444650,18461676,0,215839356,21406076
(주)SIMPAC,009160,2017/12,4130,21.2,16.19,0.68,0.52,0,0,0.74,0.57,7.78,3.15,343005145,7133940,20694784,0,203150228,13971089
(주)SIMPAC,009160,2018/12,2440,2.44,0.93,0.38,0.14,4.19,1.6,0.57,0.22,11.15,19.65,628334175,62381304,18072612,0,268863854,7215888
(주)SIMPAC,009160,2019/12,2945,23.11,13.08,0.64,0.36,5.89,3.33,0.68,0.38,9.89,2.77,608693104,11507259,26405466,0,391970769,8438305
(주)SIMPAC,009160,2020/12,2470,7.45,4.14,0.46,0.25,451.62,251.07,0.72,0.4,11.28,6.16,656622388,26301694,20822065,0,272087150,6895814
(주)SNT에너지,100840,2015/12,29750,8.58,3.96,1.03,0.48,105.23,48.52,0.89,0.41,4.95,12.31,316196096,27029932,23870714,908085,260094045,33918033
(주)SNT에너지,100840,2016/12,19200,126.99,71.71,0.93,0.52,6.02,3.4,0.83,0.47,22.06,0.72,348042346,1659742,47914443,859808,254089906,1195144
(주)SNT에너지,100840,2017/12,16100,32.32,20.87,0.64,0.41,0,0,0.8,0.52,2.64,1.98,300266693,4581777,18839719,747653,184091945,19201911
(주)SNT에너지,100840,2018/12,11050,68.56,41.57,0.55,0.33,8.67,5.26,0.9,0.54,123.89,0.78,280991534,1825479,22658363,683800,139516396,-1892191
(주)SNT에너지,100840,2019/12,19800,10.43,5.41,0.64,0.33,0,0,0.75,0.39,7.79,6.12,331391237,14578960,17851276,732767,202822913,14679703
(주)SNT에너지,100840,2020/12,15650,15.88,8.18,0.64,0.33,2.25,1.16,0.65,0.33,2.21,3.9,332066179,9407217,16313529,187866,229991237,22712569
(주)SNT홀딩스,036530,2015/12,29350,17.69,10.55,1.18,0.7,61.71,36.79,57.94,34.55,60.91,6.77,430584006,27765789,1755565,0,8475099,6719535
