회사명,거래소코드,회계년도,거래월(*),종가,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
(주)DB하이텍,000990,2014/12,08,5890,143335
(주)DB하이텍,000990,2014/12,08,5890,44511167
(주)DB하이텍,000990,2014/12,08,5890,44367832
(주)DB하이텍,000990,2014/12,09,5490,44367832
(주)DB하이텍,000990,2014/12,09,5490,143335
(주)DB하이텍,000990,2014/12,09,5490,44511167
(주)DB하이텍,000990,2014/12,10,5340,143335
(주)DB하이텍,000990,2014/12,10,5340,44511167
(주)DB하이텍,000990,2014/12,10,5340,44367832
(주)DB하이텍,000990,2014/12,11,5700,44511167
(주)DB하이텍,000990,2014/12,11,5700,143335
(주)DB하이텍,000990,2014/12,11,5700,44367832
(주)DB하이텍,000990,2014/12,12,4615,44367832
(주)DB하이텍,000990,2014/12,12,4615,44511167
(주)DB하이텍,000990,2014/12,12,4615,143335
(주)DB하이텍,000990,2015/12,01,4975,44367832
(주)DB하이텍,000990,2015/12,01,4975,143335
(주)DB하이텍,000990,2015/12,01,4975,44511167
(주)DB하이텍,000990,2015/12,02,6220,44511167
(주)DB하이텍,000990,2015/12,02,6220,143335
(주)DB하이텍,000990,2015/12,02,6220,44367832
(주)DB하이텍,000990,2015/12,03,5990,143335
(주)DB하이텍,000990,2015/12,03,5990,44511167
(주)DB하이텍,000990,2015/12,03,5990,44367832
(주)DB하이텍,000990,2015/12,04,8200,143335
(주)DB하이텍,000990,2015/12,04,8200,44367832
(주)DB하이텍,000990,2015/12,04,8200,44511167
(주)DB하이텍,000990,2015/12,05,13150,143335
(주)DB하이텍,000990,2015/12,05,13150,44511167
(주)DB하이텍,000990,2015/12,05,13150,44367832
(주)DB하이텍,000990,2015/12,06,15800,44367832
(주)DB하이텍,000990,2015/12,06,15800,44511167
(주)DB하이텍,000990,2015/12,06,15800,143335
(주)DB하이텍,000990,2015/12,07,17200,44511167
(주)DB하이텍,000990,2015/12,07,17200,143335
(주)DB하이텍,000990,2015/12,07,17200,44367832
(주)DB하이텍,000990,2015/12,08,15550,44511167
(주)DB하이텍,000990,2015/12,08,15550,143335
(주)DB하이텍,000990,2015/12,08,15550,44367832
(주)DB하이텍,000990,2015/12,09,14100,143335
(주)DB하이텍,000990,2015/12,09,14100,44367832
(주)DB하이텍,000990,2015/12,09,14100,44511167
(주)DB하이텍,000990,2015/12,10,12150,143335
(주)DB하이텍,000990,2015/12,10,12150,44367832
(주)DB하이텍,000990,2015/12,10,12150,44511167
(주)DB하이텍,000990,2015/12,11,12100,143335
(주)DB하이텍,000990,2015/12,11,12100,44511167
(주)DB하이텍,000990,2015/12,11,12100,44367832
(주)DB하이텍,000990,2015/12,12,14300,143335
(주)DB하이텍,000990,2015/12,12,14300,44367832
(주)DB하이텍,000990,2015/12,12,14300,44511167
(주)DB하이텍,000990,2016/12,01,13750,44511167
(주)DB하이텍,000990,2016/12,01,13750,44367832
(주)DB하이텍,000990,2016/12,01,13750,143335
(주)DB하이텍,000990,2016/12,02,15200,44511167
(주)DB하이텍,000990,2016/12,02,15200,44367832
(주)DB하이텍,000990,2016/12,02,15200,143335
(주)DB하이텍,000990,2016/12,03,18050,44367832
(주)DB하이텍,000990,2016/12,03,18050,44511167
(주)DB하이텍,000990,2016/12,03,18050,143335
(주)DB하이텍,000990,2016/12,04,19450,143335
(주)DB하이텍,000990,2016/12,04,19450,44511167
(주)DB하이텍,000990,2016/12,04,19450,44367832
(주)DB하이텍,000990,2016/12,05,20050,143335
(주)DB하이텍,000990,2016/12,05,20050,44367832
(주)DB하이텍,000990,2016/12,05,20050,44511167
(주)DB하이텍,000990,2016/12,06,18450,44367832
(주)DB하이텍,000990,2016/12,06,18450,143335
(주)DB하이텍,000990,2016/12,06,18450,44511167
(주)DB하이텍,000990,2016/12,07,17800,44367832
(주)DB하이텍,000990,2016/12,07,17800,44511167
(주)DB하이텍,000990,2016/12,07,17800,143335
(주)DB하이텍,000990,2016/12,08,17050,143335
(주)DB하이텍,000990,2016/12,08,17050,44367832
(주)DB하이텍,000990,2016/12,08,17050,44511167
(주)DB하이텍,000990,2016/12,09,17800,44367832
(주)DB하이텍,000990,2016/12,09,17800,143335
(주)DB하이텍,000990,2016/12,09,17800,44511167
(주)DB하이텍,000990,2016/12,10,17050,44511167
(주)DB하이텍,000990,2016/12,10,17050,44367832
(주)DB하이텍,000990,2016/12,10,17050,143335
(주)DB하이텍,000990,2016/12,11,15550,44367832
(주)DB하이텍,000990,2016/12,11,15550,44511167
(주)DB하이텍,000990,2016/12,11,15550,143335
(주)DB하이텍,000990,2016/12,12,15900,44511167
(주)DB하이텍,000990,2016/12,12,15900,44367832
(주)DB하이텍,000990,2016/12,12,15900,143335
(주)DB하이텍,000990,2017/12,01,17550,143335
(주)DB하이텍,000990,2017/12,01,17550,44367832
(주)DB하이텍,000990,2017/12,01,17550,44511167
(주)DB하이텍,000990,2017/12,02,18800,44511167
(주)DB하이텍,000990,2017/12,02,18800,143335
(주)DB하이텍,000990,2017/12,02,18800,44367832
(주)DB하이텍,000990,2017/12,03,19100,44511167
(주)DB하이텍,000990,2017/12,03,19100,143335
(주)DB하이텍,000990,2017/12,03,19100,44367832
(주)DB하이텍,000990,2017/12,04,21100,44367832
(주)DB하이텍,000990,2017/12,04,21100,44511167
(주)DB하이텍,000990,2017/12,04,21100,143335
(주)DB하이텍,000990,2017/12,05,20000,44367832
(주)DB하이텍,000990,2017/12,05,20000,143335
(주)DB하이텍,000990,2017/12,05,20000,44511167
(주)DB하이텍,000990,2017/12,06,22500,44511167
(주)DB하이텍,000990,2017/12,06,22500,44367832
(주)DB하이텍,000990,2017/12,06,22500,143335
(주)DB하이텍,000990,2017/12,07,19150,44367832
(주)DB하이텍,000990,2017/12,07,19150,44511167
(주)DB하이텍,000990,2017/12,07,19150,143335
(주)DB하이텍,000990,2017/12,08,15950,143335
(주)DB하이텍,000990,2017/12,08,15950,44367832
(주)DB하이텍,000990,2017/12,08,15950,44511167
(주)DB하이텍,000990,2017/12,09,15300,44511167
(주)DB하이텍,000990,2017/12,09,15300,143335
(주)DB하이텍,000990,2017/12,09,15300,44367832
(주)DB하이텍,000990,2017/12,10,14300,44511167
(주)DB하이텍,000990,2017/12,10,14300,44367832
(주)DB하이텍,000990,2017/12,10,14300,143335
(주)DB하이텍,000990,2017/12,11,13400,44367832
(주)DB하이텍,000990,2017/12,11,13400,44511167
(주)DB하이텍,000990,2017/12,11,13400,143335
(주)DB하이텍,000990,2017/12,12,12000,143335
(주)DB하이텍,000990,2017/12,12,12000,44367832
(주)DB하이텍,000990,2017/12,12,12000,44511167
(주)DB하이텍,000990,2018/12,01,14800,44511167
(주)DB하이텍,000990,2018/12,01,14800,112579
(주)DB하이텍,000990,2018/12,01,14800,44398588
(주)DB하이텍,000990,2018/12,02,15300,44511167
(주)DB하이텍,000990,2018/12,02,15300,44398588
(주)DB하이텍,000990,2018/12,02,15300,112579
(주)DB하이텍,000990,2018/12,03,14750,112579
(주)DB하이텍,000990,2018/12,03,14750,44511167
(주)DB하이텍,000990,2018/12,03,14750,44398588
(주)DB하이텍,000990,2018/12,04,13450,44398588
(주)DB하이텍,000990,2018/12,04,13450,44511167
(주)DB하이텍,000990,2018/12,04,13450,112579
(주)DB하이텍,000990,2018/12,05,17000,112579
(주)DB하이텍,000990,2018/12,05,17000,44398588
(주)DB하이텍,000990,2018/12,05,17000,44511167
(주)DB하이텍,000990,2018/12,06,19600,112579
(주)DB하이텍,000990,2018/12,06,19600,44398588
(주)DB하이텍,000990,2018/12,06,19600,44511167
(주)DB하이텍,000990,2018/12,07,16800,44398588
(주)DB하이텍,000990,2018/12,07,16800,44511167
(주)DB하이텍,000990,2018/12,07,16800,112579
(주)DB하이텍,000990,2018/12,08,18350,44511167
(주)DB하이텍,000990,2018/12,08,18350,44398588
(주)DB하이텍,000990,2018/12,08,18350,112579
(주)DB하이텍,000990,2018/12,09,15800,44398588
(주)DB하이텍,000990,2018/12,09,15800,44511167
(주)DB하이텍,000990,2018/12,09,15800,112579
(주)DB하이텍,000990,2018/12,10,11350,112579
(주)DB하이텍,000990,2018/12,10,11350,44511167
(주)DB하이텍,000990,2018/12,10,11350,44398588
(주)DB하이텍,000990,2018/12,11,11750,44398588
(주)DB하이텍,000990,2018/12,11,11750,112579
(주)DB하이텍,000990,2018/12,11,11750,44511167
(주)DB하이텍,000990,2018/12,12,10850,112579
(주)DB하이텍,000990,2018/12,12,10850,44398588
(주)DB하이텍,000990,2018/12,12,10850,44511167
(주)DB하이텍,000990,2019/12,01,12900,112579
(주)DB하이텍,000990,2019/12,01,12900,44511167
(주)DB하이텍,000990,2019/12,01,12900,44398588
(주)DB하이텍,000990,2019/12,02,12450,112579
(주)DB하이텍,000990,2019/12,02,12450,44511167
(주)DB하이텍,000990,2019/12,02,12450,44398588
(주)DB하이텍,000990,2019/12,03,12500,44511167
(주)DB하이텍,000990,2019/12,03,12500,44398588
(주)DB하이텍,000990,2019/12,03,12500,112579
(주)DB하이텍,000990,2019/12,04,16000,112579
(주)DB하이텍,000990,2019/12,04,16000,44511167
(주)DB하이텍,000990,2019/12,04,16000,44398588
(주)DB하이텍,000990,2019/12,05,14600,44511167
(주)DB하이텍,000990,2019/12,05,14600,112579
(주)DB하이텍,000990,2019/12,05,14600,44398588
(주)DB하이텍,000990,2019/12,06,14750,44511167
(주)DB하이텍,000990,2019/12,06,14750,44398588
(주)DB하이텍,000990,2019/12,06,14750,112579
(주)DB하이텍,000990,2019/12,07,13350,44511167
(주)DB하이텍,000990,2019/12,07,13350,112579
(주)DB하이텍,000990,2019/12,07,13350,44398588
(주)DB하이텍,000990,2019/12,08,14700,112579
(주)DB하이텍,000990,2019/12,08,14700,44398588
(주)DB하이텍,000990,2019/12,08,14700,44511167
(주)DB하이텍,000990,2019/12,09,16000,44398588
(주)DB하이텍,000990,2019/12,09,16000,112579
(주)DB하이텍,000990,2019/12,09,16000,44511167
(주)DB하이텍,000990,2019/12,10,17000,44398588
(주)DB하이텍,000990,2019/12,10,17000,112579
(주)DB하이텍,000990,2019/12,10,17000,44511167
(주)DB하이텍,000990,2019/12,11,19000,44398588
(주)DB하이텍,000990,2019/12,11,19000,112579
(주)DB하이텍,000990,2019/12,11,19000,44511167
(주)DB하이텍,000990,2019/12,12,27600,112579
(주)DB하이텍,000990,2019/12,12,27600,44511167
(주)DB하이텍,000990,2019/12,12,27600,44398588
(주)DB하이텍,000990,2020/12,01,27350,112579
(주)DB하이텍,000990,2020/12,01,27350,44511167
(주)DB하이텍,000990,2020/12,01,27350,44398588
(주)DB하이텍,000990,2020/12,02,23800,44398588
(주)DB하이텍,000990,2020/12,02,23800,112579
(주)DB하이텍,000990,2020/12,02,23800,44511167
(주)DB하이텍,000990,2020/12,03,21650,44398588
(주)DB하이텍,000990,2020/12,03,21650,112579
(주)DB하이텍,000990,2020/12,03,21650,44511167
(주)DB하이텍,000990,2020/12,04,26750,44511167
(주)DB하이텍,000990,2020/12,04,26750,112579
(주)DB하이텍,000990,2020/12,04,26750,44398588
(주)DB하이텍,000990,2020/12,05,28600,44511167
(주)DB하이텍,000990,2020/12,05,28600,112579
