회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
(주)STX,011810,2018/12,11750,142.82,40.18,11.95,3.36,0,0,0.54,0.15,0,17.12,554061000,9107000,34715000,0,1502985000,-14778000
(주)STX,011810,2019/12,8010,0,0,7.88,2.79,30.55,10.84,0.31,0.11,0,-54.53,560107000,-33218000,44719000,0,1471164000,1748000
(주)STX,011810,2020/12,5600,0,0,7.04,3.34,2.57,1.22,0.22,0.1,0,-48.03,617563000,-20448000,40869000,0,975567000,-493000
(주)TCC스틸,002710,2015/12,2180,0,0,0.98,0.49,2,0.99,0.21,0.1,9.79,-80.07,376394571,-110218983,28003827,0,495795871,15855157
(주)TCC스틸,002710,2016/12,2465,4.91,2.67,0.85,0.46,0,0,0.24,0.13,8.62,17.99,282914735,16948843,26203661,0,444453635,15351135
(주)TCC스틸,002710,2017/12,1890,0,0,0.71,0.47,0,0,0.18,0.12,14.62,1.5,278692540,1503708,26285247,0,391370092,8106455
(주)TCC스틸,002710,2018/12,2000,7.99,4.81,0.64,0.39,4.33,2.61,0.17,0.1,7.54,9.19,304781579,9755131,18205373,0,413176279,17080602
(주)TCC스틸,002710,2019/12,2720,34.42,21.21,0.73,0.45,0,0,0.2,0.12,10.29,4.42,314210087,5037267,18699255,0,437173902,12856170
(주)TCC스틸,002710,2020/12,5290,0,0,1.51,0.25,0,0,0.44,0.07,31.84,-1.3,306758932,-1687460,19491758,0,431797912,970928
(주)강원랜드,035250,2015/12,38400,22.81,14.81,3.51,2.28,16.88,10.96,6.02,3.91,12.02,15.49,3690791830,441629101,278670466,108201,1633716839,595400402
(주)강원랜드,035250,2016/12,35750,20.97,16.62,3.13,2.48,15.88,12.59,5.63,4.46,10.83,14.55,3978987574,454533659,292739131,114514,1696532511,618616288
(주)강원랜드,035250,2017/12,34800,19.36,15.86,2.56,2.1,18.16,14.88,5.28,4.32,12.07,12.96,4185657487,437540507,286038872,64234,1604470055,530897334
(주)강원랜드,035250,2018/12,32000,24.65,18.2,2.15,1.59,20.02,14.79,5.1,3.77,13.61,8.39,4231241354,297236881,277765849,49171,1438059299,430699991
