종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"013700","까뮤이앤씨","11800","-50","-0.42","11850","11950","11550","27284","320692350","53279690400","4515228"
"004540","깨끗한나라","5380","-20","-0.37","5430","5440","5320","180177","965751620","173391831700","32228965"
"004545","깨끗한나라우","20600","-100","-0.48","20500","21100","20350","3723","76533750","7542896000","366160"
"007460","나라케이아이씨","3030","10","0.33","3040","3145","3010","51480","156641985","39459586980","13022966"
"001260","남광토건","4330","0","0.00","0","0","0","0","0","31379817430","7247071"
"008350","남선알미늄","1235","-10","-0.80","1250","1260","1235","938394","1168121915","136071176150","110179090"
"008355","남선알미우","10000","-100","-0.99","10050","10300","9990","3008","30297040","3078900000","307890"
"004270","남성","1995","40","2.05","1955","2015","1955","11964","23823970","72243259200","36212160"
"003920","남양유업","738000","7000","0.96","722000","738000","722000","562","413018000","531360000000","720000"
"003925","남양유업우","273000","4000","1.49","270000","273000","270000","27","7329000","45498726000","166662"
"002070","남영비비안","10100","-50","-0.49","10200","10200","9990","553","5571610","69366244500","6867945"
"025860","남해화학","10150","50","0.50","10200","10300","10050","99631","1015898450","504240256450","49678843"
"005720","넥센","77300","2300","3.07","75000","77700","74300","13890","1072371700","393303714100","5088017"
"005725","넥센우","42000","1150","2.82","41300","42000","41300","301","12641300","15122520000","360060"
"002350","넥센타이어","12350","150","1.23","12250","12400","12150","107265","1317519400","1190736080950","96415877"
"002355","넥센타이어1우B","5180","-10","-0.19","5160","5220","5160","19","98630","33670000000","6500000"
"110570","넥솔론","872","8","0.93","868","921","860","7522840","6628001504","140140216104","160711257"
"090350","노루페인트","11150","-350","-3.04","11400","11450","11000","200432","2239164950","223000000000","20000000"
"090355","노루페인트우","9520","-60","-0.63","9650","9800","9520","4773","45783590","4408959520","463126"
"000320","노루홀딩스","24500","-150","-0.61","24650","25100","24500","8374","208683000","323365969500","13198611"
"000327","노루홀딩스2우B","24700","500","2.07","24100","24750","24000","3157","76965400","2285738000","92540"
"000325","노루홀딩스우","19600","-150","-0.76","19700","20600","19250","733","14369650","3630900000","185250"
"006280","녹십자","183000","1500","0.83","181500","185500","179500","32166","5896913500","2138636454000","11686538"
"005250","녹십자홀딩스","41950","250","0.60","42000","42550","41450","44703","1882222500","1972833409500","47028210"
"005255","녹십자홀딩스1우","25150","100","0.40","25800","25800","24900","69","1724850","41972080500","1668870"
"005257","녹십자홀딩스2우","26600","700","2.70","25900","26750","25550","2221","58348750","22503334000","845990"
"004370","농심","439500","3000","0.69","439500","453000","436000","13769","6116917000","2673321159000","6082642"
"072710","농심홀딩스","154000","1000","0.65","154000","155500","152000","3911","602166500","714219660000","4637790"
"023590","다우기술","21800","600","2.83","21400","21900","21050","208749","4506017300","978092250600","44866617"
"020120","다우인큐브","4150","215","5.46","3970","4150","3890","102340","415159400","65705078350","15832549"
"015590","대경기계","1270","10","0.79","1260","1280","1260","145325","184078600","69519660300","54739890"
"019680","대교","8900","100","1.14","8750","8970","8750","61572","548982750","753855365000","84702850"
"019685","대교우B","5490","40","0.73","5480","5560","5360","8511","46410760","106654175100","19426990"
"006370","대구백화점","14750","150","1.03","14500","14800","14400","10413","152520950","159618762250","10821611"
"004130","대덕GDS","9970","-80","-0.80","10000","10050","9860","39695","395363660","205138861610","20575613"
"004135","대덕GDS우","6650","-30","-0.45","6740","6880","6650","2578","17172950","14364000000","2160000"
"008060","대덕전자","7610","-10","-0.13","7620","7650","7530","94369","715413210","371339843000","48796300"
"000490","대동공업","9170","-10","-0.11","9190","9220","9100","42851","392357980","217587685700","23728210"
"008110","대동전자","5080","0","0.00","5080","5080","5070","3127","15863790","53291470760","10490447"
"005750","대림B&Co","12350","-200","-1.59","12550","12700","12250","136840","1709980150","191445649200","15501672"
"000210","대림산업","67100","-200","-0.30","67300","68300","66500","75387","5056203300","2335080000000","34800000"
"000215","대림산업우","24500","0","0.00","24400","25000","24400","4082","100006650","93100000000","3800000"
"006570","대림통상","5080","80","1.60","5170","5170","4955","6286","31481110","77343000000","15225000"
"001680","대상","32600","-200","-0.61","32800","33150","32550","102367","3356291150","1121817345000","34411575"
"001689","대상3우B","32050","450","1.42","32050","32050","32050","10","320500","7578222500","236450"
"001685","대상우","14900","0","0.00","14900","15050","14850","940","14020350","20416322700","1370223"
"084690","대상홀딩스","19150","600","3.23","18600","19200","18450","26076","491688850","693470102700","36212538"
"084695","대상홀딩스우","10000","210","2.15","9840","10000","9700","786","7760500","9134820000","913482"
"128820","대성산업","3485","-95","-2.65","3650","3650","3430","75397","262928385","83946523175","24087955"
"117580","대성에너지","5980","-40","-0.66","6060","6060","5940","32680","195803460","164450000000","27500000"
"005620","대성합동지주","26750","350","1.33","26450","26850","26200","279","7427700","48125309750","1799077"
