회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS)(원),1주당매출액(IFRS)(원),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS)(백만원),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),상장폐지일,소속코드,상장일
(주)MH에탄올,023150,2018/12,-2.75,2.07,5.83,11.02,2.96,2.32,0.82,16.86,133.8,87,0.03,4.24,60.15,1489.56,133.3,16.77,62.44,26.87,13.96,8.69,6.04,9.84,955,6362.12,0.43,0.71,0.52,7.87,4.5,0,0,46.39,81.08,0.01,0.08,1.42,1.17,2.56,3.8,16047.25,14.63,39.59,775.99,34.18,34.02,65.98,40.84,,1,1996/12/24
(주)MH에탄올,023150,2019/12,0.1,-7.84,-13.14,0,1.32,-9.14,-1.39,25.68,127.22,70.51,0.01,3.84,69.91,1293.9,139.43,17.94,58.85,24.64,-10.65,7.72,-4.75,-7.82,-752,6368.79,0.45,0.73,0.54,6.48,4.85,0,0,56.36,75.31,0.01,0.09,1.46,1.15,2.57,4.27,5096.55,5.04,12.44,253.26,10.85,116.3,-16.3,-98.2,,1,1996/12/24
(주)MH에탄올,023150,2020/12,9.12,-3.51,-3.14,0,1.93,-7.13,13.09,2.23,117.69,70.26,0.03,3.16,69.27,1253.26,133.68,21.03,59.08,24.12,2.26,8.58,1.16,1.98,178,6949.54,0.52,0.88,0.64,6.28,5.56,0,0,58.17,65.63,0.01,0.08,1.46,1.24,2.65,4.6,11094.52,11.38,27.04,634.12,21.64,54.38,45.62,10.42,,1,1996/12/24
(주)MH에탄올,023150,2021/12,-10.5,1.26,0.78,327.07,3.15,3.38,-6.74,10.35,82.43,43.13,0.56,-4.13,70.07,1263.01,137.14,19.37,58.8,17.77,10.76,3.97,5.03,8.54,759,6219.69,0.47,0.79,0.59,5.28,4.88,0,0,69.11,74.79,0.01,0.1,1.14,1.08,2.32,4.13,14295.51,14.48,33.41,491.06,31.15,43.12,56.88,34.55,,1,1996/12/24
(주)MH에탄올,023150,2022/12,12,11.52,7.56,15.11,0.78,9.78,18.76,-4.59,48.93,30.19,0.06,-21.52,76.34,1358.47,139.97,20.62,56.71,9.14,11.06,0.83,5.44,9.44,873,6966.2,0.49,0.85,0.62,5.77,4.94,0,0,63.26,73.89,0.01,0.09,0.92,1.18,2.46,4.28,14584,13.24,34.13,502.34,28.37,40.58,59.42,38.98,,1,1996/12/24
(주)SH에너지화학,002360,2018/12,-2.12,-1.92,-1.56,-68.93,-3.37,-1.85,-1.96,12.37,1166.09,852.64,396.3,58.68,16.17,186.7,41.61,64.18,86.08,6.47,1.53,2.54,2.27,2.64,25,1626.36,1.48,1.72,4.13,9.17,6.84,138.3,2.64,39.8,53.36,0.01,0,2.1,5.94,2.31,3.08,19849.37,16.42,67.47,163.93,10.98,73.28,26.72,13.94,,1,1985/12/23
(주)SH에너지화학,002360,2019/12,-23.56,0.19,-6.42,0,10.74,6.99,-3.61,-23.82,1062.65,836.92,532.73,55.94,24.38,174.72,47.58,61.75,80.4,4.56,-2.28,-1.62,-2.6,-3.13,-28.5,1243.13,1.14,1.37,3.08,7.52,6.31,140.98,2.59,48.54,57.83,0.01,0,1.66,4.38,1.81,2.39,12959.9,10.7,42,96.89,9.38,111.8,-11.8,-24.32,,1,1985/12/23
(주)SH에너지화학,002360,2020/12,-33.88,-3.76,-7.77,0,10.29,12.41,-13.78,-39.76,917.82,781.6,368.84,49.3,29.79,161.14,57.98,55.32,77.05,1.05,-7.9,-5.76,-6.07,-7.71,-65.4,821.98,0.77,0.98,1.86,7.18,5.5,79.3,4.6,50.86,66.4,0.01,0,1.19,2.62,1.31,1.61,7414.09,6.36,24.41,59.07,8.12,202.29,-102.29,-97.37,,1,1985/12/23
(주)SH에너지화학,002360,2021/12,52.47,1.59,1.59,0,-6.53,-7.29,8.76,19.09,561.48,470.24,109.95,48.68,29.78,163.7,52.91,59.23,77.05,7.04,0.54,0.84,0.64,0.83,6.9,1253.23,1.19,1.54,2.78,13.28,7.6,97.7,3.74,27.48,48.05,0.01,0,1.81,3.94,2.07,2.45,18926.61,15.98,55.8,118.33,13.59,81.8,18.2,3.98,,1,1985/12/23
(주)SH에너지화학,002360,2022/12,15.33,4.15,1.55,63.47,8.48,1.37,6.07,85.65,653.36,467.53,112.57,51.09,33.11,166.25,52.82,60.32,75.13,6.3,0.77,0.9,1.02,1.34,11.2,1445.33,1.33,1.75,3.3,9.87,7.54,101.84,3.58,36.99,48.41,0.01,0,1.91,4.51,2.22,2.87,20537.02,16.65,55.44,107.07,12.78,80.79,19.21,6,,1,1985/12/23
