회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS)(원),1주당매출액(IFRS)(원),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS)(백만원),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),상장폐지일,소속코드,상장일
(주)셀트리온제약,068760,2021/12,70.72,16.39,10.45,65.16,-2.52,-3.28,43.4,16.13,127.4,102.82,30.85,11.17,92.15,1816.48,92.4,51.91,52.04,29.91,8.67,8.13,5.83,10.93,948,10912.12,0.67,1.26,1.28,6.71,2.55,8.47,43.12,54.42,143.21,0.01,1.27,0.79,1.63,1.42,1.8,130406.55,20.44,54.52,111.51,32.7,46.65,53.35,26.52,,5,2006/02/03
(주)셀트리온제약,068760,2022/12,-3.18,-5.98,7.48,-24.93,-5.47,-6.17,-5.8,8.28,147.13,114.5,14.81,16.66,68.09,1892.67,80.67,52.01,59.49,29.21,6.72,6.34,4.2,7.54,691,10247.43,0.62,1.12,1.3,5.8,2.16,6.98,52.32,62.91,169.34,0.01,1.02,0.69,1.65,1.2,1.51,118766.13,19.8,52.34,108.74,30.77,50.11,49.89,21.86,,5,2006/02/03
(주)셀트리온헬스케어,091990,2018/12,-0.53,0.67,-2.4,-68.32,-17.8,89.77,-2.18,-7,226.33,108.7,17.81,52.56,74.69,1195.06,10.19,94.17,57.24,6.65,4.87,-0.11,1.53,2.63,322,6543.45,0.31,0.54,7.03,0.62,1.54,1.41,259.3,591.76,237.43,0,1.34,0.23,5416.76,0.33,0.7,77512.1,2.64,50640.58,0,8.44,24.71,75.29,57.72,,5,2017/07/28
(주)셀트리온헬스케어,091990,2019/12,23.51,-5.45,3.49,48.01,213.42,17.51,-6.87,-10.59,278.24,139.41,22,59.42,59.61,1207.49,11.57,92.75,62.65,14.93,5.29,3.05,2.14,3.58,431,8058.13,0.41,0.68,6.22,0.85,1.63,1.9,191.86,428.73,224.12,0,1.73,0.31,3658.77,0.43,0.89,99572.17,3.59,20755.82,0,8.6,21.57,78.43,61.46,,5,2017/07/28
(주)셀트리온헬스케어,091990,2020/12,82.87,32.99,18.43,394.27,136.12,150.01,23.84,-12.15,214.12,138.33,12.3,46.03,79.24,1355.73,24.43,86.37,55.79,23.77,14.29,13.42,9.36,15.94,2019,13990.82,0.66,1.12,6.01,1.76,2.47,2.77,131.57,207.89,147.91,0,0.69,0.52,2625.74,0.74,1.26,412660.03,11.19,36430.03,0,19.49,7.04,92.96,73.3,,5,2017/07/28
(주)셀트리온헬스케어,091990,2021/12,-30.56,-6.29,3.76,-74.81,-41.51,-23.3,-3.6,2.12,261.94,163.72,16.33,54.93,61.89,1377.46,18.06,88.84,61.77,12.23,5.18,2.66,2.13,3.63,497,9484.7,0.41,0.7,3.31,1.29,1.52,1.74,209.29,283.01,240.83,0,0.94,0.33,1637.65,0.47,0.74,137676.75,3.98,20781.02,0,9.37,25.71,74.29,55.35,,5,2017/07/28
(주)셀트리온헬스케어,091990,2022/12,-1.18,11.09,-3.78,-50.42,21.73,-29.96,16.25,23,214.29,129.27,21.59,49.58,86.91,1298.5,13.15,92.97,53.5,11.21,2.6,2.24,1.04,1.8,244,9183.6,0.4,0.69,4.43,1.13,1.43,1.47,248.31,322.66,256.14,0,0.92,0.31,1977.87,0.44,0.71,83288.93,2.17,10327.87,0,5.73,39.63,60.37,45.36,,5,2017/07/28
(주)셀피글로벌,068940,2018/12,-11.78,-7.78,-19.11,0,-9.82,-24.52,4.45,-7.97,147.19,99.56,18.42,20.98,97.01,223.84,68.09,65.44,50.76,19.4,-11.32,-5.24,-9.47,-17.39,-90,769.29,0.84,1.54,2.17,3.95,6.61,81.11,4.5,92.46,55.25,0.01,0,0.84,3.73,1.36,2.08,4230.03,15.38,69.28,200.74,17.64,116.92,-16.92,-64.17,,5,2010/10/19
(주)셀피글로벌,068940,2019/12,2.53,30.43,6.15,0,8.01,-1.32,47.21,3.38,162.88,125.86,10.03,28.51,142.08,237.6,63.3,73.85,41.31,23.23,0.03,2.11,0.02,0.05,0.2,788.78,0.78,1.71,2.6,4.15,6.14,71.39,5.11,87.89,59.46,0.01,0,0.67,3.87,1.11,1.51,6388.27,17.81,96.87,423.36,25.98,79.56,20.44,0.11,,5,2010/10/19
(주)셀피글로벌,068940,2020/12,12.5,-1.72,14.1,0,-3.53,-0.39,-2.19,-9.39,195.96,154.7,39.66,35.99,108.52,247.76,55.27,73.5,47.96,13.62,-11.78,-6.91,-9.16,-20.54,-107,887.35,0.78,1.74,2.96,4.82,7.42,74.8,4.88,75.7,49.16,0.01,0,0.68,4.27,1.06,1.35,5288.3,15,83.13,544.14,19.11,97.42,2.58,-61.62,,5,2010/10/19
