회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)국영지앤엠,006050,2020/12,,5,1994/10/07,-11.82,-3.43,0,2,-2.03,37.28,-1.88
(주)국영지앤엠,006050,2021/12,,5,1994/10/07,-14.53,-9.53,0,-5.36,-8.83,43.61,-7.13
(주)국영지앤엠,006050,2022/12,,5,1994/10/07,15.57,4.03,0,-0.19,2.92,37.79,2.81
(주)국전약품,307750,2018/12,,5,2018/12/19,,,,,,,
(주)국전약품,307750,2019/12,,5,2018/12/19,,,,,,,
(주)국전약품,307750,2020/12,,5,2018/12/19,0,0,0,0,-4.11,79.34,-5.74
(주)국전약품,307750,2021/12,,5,2018/12/19,5.87,157.99,0,85.09,4.73,28.67,4.9
(주)국전약품,307750,2022/12,,5,2018/12/19,21.52,10.22,114.98,81.54,8.37,111.93,5.76
(주)그래디언트,035080,2018/12,,5,1999/07/05,-1.98,-1.07,0,-1.33,35.99,4.38,1.29
(주)그래디언트,035080,2019/12,,5,1999/07/05,-28.75,-1.58,-6.35,-0.98,47.31,5.02,1.22
(주)그래디언트,035080,2020/12,,5,1999/07/05,1840.22,5.16,-80.45,63.16,0.48,62.94,0.18
(주)그래디언트,035080,2021/12,,5,1999/07/05,-91.04,-1.35,0,10.5,-114.82,82.51,-3.01
(주)그래디언트,035080,2022/12,,5,1999/07/05,-42.17,68.11,0,-5.63,2798.01,2.46,41.65
(주)그리티,204020,2018/12,,5,2018/07/23,-5.83,35.98,-22.41,38.51,5.14,16.89,8.08
(주)그리티,204020,2019/12,,5,2018/07/23,3.36,1.06,-56.36,0.28,2.17,16,3.03
(주)그리티,204020,2020/12,,5,2018/07/23,-0.93,-2.07,-41.38,-4.84,1.28,12.72,1.82
(주)그리티,204020,2021/12,,5,2018/07/23,-13.13,-12,0,-10.61,-10.06,14.5,-13.39
(주)그리티,204020,2022/12,,5,2018/07/23,34.06,1.22,0,-0.17,0.74,12.91,1.39
(주)그린플러스,186230,2018/12,,5,2019/08/07,0,0,0,0,5.25,107.34,4.55
(주)그린플러스,186230,2019/12,,5,2019/08/07,-6.28,56.64,10.06,16.26,6.17,53.89,4.63
(주)그린플러스,186230,2020/12,,5,2019/08/07,40.61,-9.04,0,28.56,-3.47,117.5,-2.98
(주)그린플러스,186230,2021/12,,5,2019/08/07,37.25,80.54,0,20.08,-5.31,44.66,-5.05
(주)그린플러스,186230,2022/12,,5,2019/08/07,3,0.02,0,2.12,-3.79,47.71,-3.37
(주)글로벌스탠다드테크놀로지,083450,2018/12,,5,2006/02/01,-25.29,7.97,-41.02,-1.62,6.7,20.49,8.78
(주)글로벌스탠다드테크놀로지,083450,2019/12,,5,2006/02/01,30.41,24.45,119.77,38.23,11.29,33.83,16.33
(주)글로벌스탠다드테크놀로지,083450,2020/12,,5,2006/02/01,2.24,8.92,-33.33,-0.04,7.36,22.81,9.38
(주)글로벌스탠다드테크놀로지,083450,2021/12,,5,2006/02/01,87.97,30.28,182.39,45.58,11.06,37.24,21.59
(주)글로벌스탠다드테크놀로지,083450,2022/12,,5,2006/02/01,2.58,35.83,37.61,23.46,14.84,24.75,22.43
(주)금빛,045890,2018/12,2021/12/20,4,2005/11/28,-23.42,8.86,0,-4.47,-14.38,107.97,-6.46
(주)금빛,045890,2019/12,2021/12/20,4,2005/11/28,9.61,-38.91,0,-7.19,-70.4,215.96,-36.8
(주)금빛,045890,2020/12,2021/12/20,4,2005/11/28,-32.43,70.57,0,15.55,-37.76,114.03,-12.86
(주)금화피에스시,036190,2018/12,,5,2000/12/26,15.49,19.89,83.94,12.05,18.89,14.64,16.65
(주)금화피에스시,036190,2019/12,,5,2000/12/26,-11.34,7.75,-33.77,5.3,14.11,12.03,10.16
(주)금화피에스시,036190,2020/12,,5,2000/12/26,14.85,4.03,-14.34,3.1,10.52,11.04,8.36
(주)금화피에스시,036190,2021/12,,5,2000/12/26,0.09,6.6,2.98,4.58,10.83,8.93,8.29
(주)금화피에스시,036190,2022/12,,5,2000/12/26,7.42,9.01,22.92,24.63,12.39,24.54,8.87
(주)기가레인,049080,2018/12,,5,2013/12/19,27.59,-24.88,0,-1.92,-20.7,163.61,-13.33
(주)기가레인,049080,2019/12,,5,2013/12/19,-44.74,-58.3,0,-34.46,-69.83,314.3,-30.32
(주)기가레인,049080,2020/12,,5,2013/12/19,-40.23,82.12,0,-12.87,-66.38,98.2,-23.25
(주)기가레인,049080,2021/12,,5,2013/12/19,82.13,24.05,0,-6.98,6.17,48.63,4.38
(주)기가레인,049080,2022/12,,5,2013/12/19,-17.25,0.03,0,-5.73,-11.79,40.07,-7.4
(주)기산텔레콤,035460,2018/12,,5,1999/11/18,-15.91,-17.47,0,-23.2,-23.29,17.01,-14.7
(주)기산텔레콤,035460,2019/12,,5,1999/11/18,22.85,7.3,0,16.97,7.22,27.55,5.94
(주)기산텔레콤,035460,2020/12,,5,1999/11/18,-12.31,-4.75,0,7.04,-5.63,43.35,-3.64
(주)기산텔레콤,035460,2021/12,,5,1999/11/18,-32.32,-8.03,0,-14.46,-13.98,33.32,-6.38
(주)기산텔레콤,035460,2022/12,,5,1999/11/18,32.47,7.85,0,6.6,4.56,31.78,2.89
(주)까스텔바작,308100,2018/12,,5,2019/06/10,10.57,21.01,76.68,22.85,12.29,24.76,15.83
(주)까스텔바작,308100,2019/12,,5,2019/06/10,-11.97,22.34,-37.38,12.4,8.75,14.62,8.47
(주)까스텔바작,308100,2020/12,,5,2019/06/10,-17.19,3.43,-62.6,12.97,3.95,25.19,2.81
(주)까스텔바작,308100,2021/12,,5,2019/06/10,-0.47,-9.04,0,16.8,-6.88,60.76,-4.24
(주)까스텔바작,308100,2022/12,,5,2019/06/10,-10.86,-8.07,0,3.44,-10.11,80.89,-5.06
(주)꿈비,407400,2021/12,,5,2023/02/09,,,,,,,
(주)꿈비,407400,2022/12,,5,2023/02/09,0,0,0,0,4.9,96.88,8.23
(주)나노,187790,2018/12,,5,2014/05/08,14.34,20.17,0,12.64,-16.4,49.77,-8.93
(주)나노,187790,2019/12,,5,2014/05/08,12.22,7.89,0,9.59,1.24,52.14,0.68
(주)나노,187790,2020/12,,5,2014/05/08,-5.42,-9.91,0,-4.36,-12.82,61.52,-6.52
(주)나노,187790,2021/12,,5,2014/05/08,-1.21,-32.57,0,-16.61,-45.7,99.74,-25.62
(주)나노,187790,2022/12,,5,2014/05/08,44.61,-25.1,0,-2.18,-16.6,160.86,-14.96
(주)나노브릭,286750,2018/12,,5,2019/08/19,20.17,270.89,0,0.54,16.47,1086.85,6.56
(주)나노브릭,286750,2019/12,,5,2019/08/19,8.2,828.34,0,35.72,-9.81,73.51,-3.58
(주)나노브릭,286750,2020/12,,5,2019/08/19,11.27,-0.14,0,-9.9,-1.06,56.55,-0.39
(주)나노브릭,286750,2021/12,,5,2019/08/19,-19.04,-12.18,0,49.15,-40.32,165.88,-10.25
(주)나노브릭,286750,2022/12,,5,2019/08/19,1.92,-18.17,0,-14.69,-36.54,177.16,-8.53
(주)나노신소재,121600,2018/12,,5,2011/02/09,14.66,7.03,11.51,10.16,14.5,10.42,8.1
(주)나노신소재,121600,2019/12,,5,2011/02/09,-6.42,5.6,-22.82,3.79,11.96,8.53,5.85
(주)나노신소재,121600,2020/12,,5,2011/02/09,-0.75,-1.59,-69.83,4.73,3.64,15.51,1.69
(주)나노신소재,121600,2021/12,,5,2011/02/09,26.13,8.8,367.69,14.13,13.48,21.17,7.23
(주)나노신소재,121600,2022/12,,5,2011/02/09,26.83,98.96,130.31,75.8,24.49,7.06,11.33
(주)나노엔텍,039860,2018/12,,5,2000/08/16,12.37,44.53,0,0.56,14.81,17.93,8.09
(주)나노엔텍,039860,2019/12,,5,2000/08/16,0.92,16.52,68.07,10.73,24.67,12.07,12.87
(주)나노엔텍,039860,2020/12,,5,2000/08/16,9.33,8.96,-57.56,10.33,9.58,13.48,4.94
(주)나노엔텍,039860,2021/12,,5,2000/08/16,24.76,15.15,190.86,18.25,22.33,16.53,12.56
(주)나노엔텍,039860,2022/12,,5,2000/08/16,-4.9,9.54,-39.7,1.35,14.16,7.81,6.94
(주)나래나노텍,137080,2018/12,,5,2022/02/08,-0.66,7.15,0,-10.49,5.22,116.37,3.92
(주)나래나노텍,137080,2019/12,,5,2022/02/08,-54.82,-19.75,0,2.78,-25.33,177.11,-8.98
(주)나래나노텍,137080,2020/12,,5,2022/02/08,92.53,3.57,0,3.24,2.74,176.25,1.82
(주)나래나노텍,137080,2021/12,,5,2022/02/08,63.17,36.06,666.15,17.74,12.89,139.06,12.6
(주)나래나노텍,137080,2022/12,,5,2022/02/08,-34.87,72.43,-85.97,23.97,2.78,71.87,1.46
(주)나무가,190510,2018/12,,5,2015/11/12,17.89,37.02,0,5.63,5.18,102.54,13.62
(주)나무가,190510,2019/12,,5,2015/11/12,37.93,28.91,-68.91,101.43,1.17,216.47,2.73
(주)나무가,190510,2020/12,,5,2015/11/12,41.08,2.91,0,2.83,-0.39,216.24,-0.94
(주)나무가,190510,2021/12,,5,2015/11/12,-10.08,17.45,0,-5.63,2.39,154.08,5.33
(주)나무가,190510,2022/12,,5,2015/11/12,-1.83,113.03,309,29.33,9.97,54.24,19.56
(주)나스미디어,089600,2018/12,,5,2013/07/17,-14.72,7.83,-23.62,-4.32,21.51,83.49,6.6
(주)나스미디어,089600,2019/12,,5,2013/07/17,9.04,6.12,20.69,21.99,23.8,110.93,7.33
(주)나스미디어,089600,2020/12,,5,2013/07/17,4.7,12.82,20.34,15.39,27.36,115.73,7.46
(주)나스미디어,089600,2021/12,,5,2013/07/17,8.13,11.85,8.6,14.44,27.48,120.72,7.05
(주)나스미디어,089600,2022/12,,5,2013/07/17,21.7,9.43,-1.35,1.63,22.28,105,6.46
(주)나이벡,138610,2018/12,,5,2011/07/13,-17.37,-14.45,0,-13.33,-79.61,111.02,-17.25
