,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
39,(주)이마트,139480,2020/03,20921162427.0,823637417.0,11007437742.0,3525042715.0,5387742661.0,72711000.0,0.0,5210766399.0,63586676.0,19056782.0,44529893.0
40,(주)제일기획,30000,2020/03,2259048891.0,413340882.0,1358790587.0,1782904650.0,1163054738.0,0.0,0.0,681248864.0,35829144.0,10712976.0,25116167.0
41,(주)종근당,185750,2020/03,829957478.0,85783309.0,348379428.0,507178659.0,303428479.0,44678087.0,0.0,293360802.0,24224425.0,6898081.0,17326343.0
42,(주)지누스,13890,2020/03,751225042.0,114165129.0,363708257.0,512339839.0,291221220.0,0.0,0.0,184293123.0,22746220.0,5671524.0,17074696.0
43,(주)지에스,78930,2020/03,24470546000.0,999476000.0,13926939000.0,3332160000.0,4876678000.0,0.0,0.0,4196135000.0,-56626000.0,238607000.0,-295233000.0
44,(주)지에스리테일,7070,2020/03,7100349909.0,54295688.0,4564581339.0,905915703.0,1795355413.0,1429000.0,0.0,2141890677.0,60645386.0,11258917.0,49386468.0
45,(주)카카오,35720,2020/03,9495806064.0,1953557168.0,3447995710.0,3026023695.0,2184814697.0,0.0,0.0,868377032.0,126598881.0,46699466.0,79899414.0
46,(주)케이씨씨,2380,2020/03,12018137081.0,563114886.0,7339063764.0,3445732844.0,3290027512.0,163363607.0,0.0,1256453047.0,-424594207.0,-107552591.0,-270247363.0
47,(주)케이티,30200,2020/03,32630954000.0,1627056000.0,17559383000.0,10887159000.0,9171514000.0,0.0,0.0,5831716000.0,367182000.0,140596000.0,226586000.0
48,(주)케이티앤지,33780,2020/03,10859434327.0,969475912.0,2486211035.0,6557856354.0,2088616508.0,837105027.0,0.0,1178410308.0,415599613.0,121724583.0,293875030.0
49,(주)크래프톤,259960,2020/03,1355555811.0,168814140.0,470363396.0,1085988028.0,342867229.0,0.0,0.0,508163342.0,383154235.0,89171345.0,293982889.0
50,(주)포스코인터내셔널,47050,2020/03,9522967354.0,750562376.0,6480901814.0,5643070814.0,4253705937.0,109264000.0,0.0,5510964736.0,90789581.0,26522153.0,64267428.0
51,(주)포스코퓨처엠,3670,2020/03,1680059215.0,67462107.0,682333290.0,549284839.0,215088784.0,46696697.0,0.0,387519526.0,16238570.0,2004029.0,14234541.0
52,(주)풍산,103140,2020/03,2611894790.0,112144035.0,1236842532.0,1306509855.0,814870738.0,71197000.0,0.0,581182705.0,1288385.0,4504555.0,-3216170.0
53,(주)하나금융지주,86790,2020/03,,,,,,,,,,,
54,(주)하나투어,39130,2020/03,965731535.0,155036596.0,655726383.0,369049411.0,270457322.0,89720.0,0.0,110505861.0,-34862730.0,-324291.0,-34538439.0
55,(주)한샘,9240,2020/03,1264955296.0,127009568.0,659010567.0,542904318.0,476491802.0,9946219.0,0.0,492614042.0,17797073.0,5848870.0,11948203.0
56,(주)한섬,20000,2020/03,1297357798.0,26685676.0,240416037.0,706689650.0,184269880.0,50676553.0,0.0,271498725.0,29389026.0,7784886.0,21604140.0
57,(주)한솔케미칼,14680,2020/03,912841199.0,73675899.0,384837721.0,273359938.0,156392787.0,24051071.0,0.0,146616873.0,48471354.0,11750182.0,35247237.0
58,(주)한진칼,180640,2020/03,2314589512.0,124076528.0,1196260234.0,485984343.0,423114853.0,733088.0,0.0,193750991.0,-282647598.0,-1988560.0,-280659038.0
59,(주)한화,880,2020/03,186439851000.0,4773314000.0,168431971000.0,17086578000.0,17729862000.0,1067110000.0,16006000.0,14461933000.0,174207000.0,-10487000.0,184694000.0
60,(주)현대미포조선,10620,2020/03,3485952471.0,528498839.0,1100316573.0,1842142952.0,1064038241.0,88410044.0,0.0,777276201.0,53485899.0,12392901.0,41092998.0
61,(주)현대백화점,69960,2020/03,7867630445.0,181723878.0,2901121434.0,1472177536.0,1705739273.0,0.0,0.0,449563994.0,33855505.0,9968364.0,23887141.0
62,(주)현대지에프홀딩스,5440,2020/03,2910446385.0,46316196.0,850445744.0,1137608216.0,531287236.0,71833613.0,0.0,834711261.0,53095811.0,11969812.0,41125999.0
63,(주)현대홈쇼핑,57050,2020/03,2522360036.0,48199383.0,801694601.0,951924682.0,599922023.0,10767000.0,0.0,537189080.0,46190771.0,10697991.0,35492780.0
64,(주)호텔신라,8770,2020/03,3318804086.0,163833245.0,2481310711.0,1469960247.0,1318081465.0,4608909.0,0.0,943683524.0,-92533013.0,-18975812.0,-73557201.0
65,(주)화승엔터프라이즈,241590,2020/03,1187774405.0,264246994.0,673920802.0,684766903.0,582886269.0,110369418.0,0.0,284432606.0,-5140055.0,578109.0,-5718164.0
66,(주)효성,4800,2020/03,6646343912.0,292011124.0,4050528081.0,1534986098.0,2540924944.0,54344000.0,0.0,676939178.0,209726.0,3154735.0,-2945009.0
67,(주)후성,93370,2020/03,530505756.0,40020234.0,286953861.0,127455367.0,83299219.0,10184472.0,0.0,60008535.0,-2600767.0,10317.0,-2611085.0
68,(주)휠라홀딩스,81660,2020/03,4121542744.0,354275510.0,2246792848.0,1835928269.0,1084932190.0,87208991.0,0.0,789900936.0,57530430.0,18030286.0,39500143.0
69,DB손해보험(주),5830,2020/03,,,,,,,,,,,
70,HD현대(주),267250,2020/03,24651214245.0,1589120159.0,13212587397.0,8333641841.0,7077530800.0,1027757906.0,0.0,5716315071.0,-603697536.0,-243325535.0,-360372001.0
71,KG스틸(주),16380,2020/03,2352209004.0,49225472.0,1456394105.0,763878406.0,628386357.0,82891000.0,0.0,596218435.0,4991401.0,511209.0,4480192.0
72,LG이노텍(주),11070,2020/03,5757939542.0,583854547.0,3463020095.0,2506296390.0,1993940115.0,144657000.0,0.0,2010875217.0,109256553.0,28684273.0,80572280.0
73,LS일렉트릭(주),10120,2020/03,2597678720.0,530845642.0,1244073147.0,1712710544.0,812087003.0,83115282.0,0.0,635611195.0,33008645.0,11304336.0,21704310.0
74,OCI(주),10060,2020/03,4786205793.0,443802486.0,2127865741.0,2080316015.0,1033080317.0,98897670.0,0.0,568602914.0,-74683248.0,-16813489.0,-57891227.0
75,SK이노베이션(주),96770,2020/03,38519477985.0,3725391452.0,22166510057.0,15579414065.0,11650298681.0,1276381000.0,0.0,11162996354.0,-2047211311.0,-495053493.0,-1552157818.0
