회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)경동인베스트,012320,2021/12,,1,1997/03/07,15.14,-0.23,-72.72,-0.31,4.03,0.39,0.12
(주)경동인베스트,012320,2022/12,,1,1997/03/07,29.52,-3.1,0,-3.02,-64.68,0.47,-2.46
(주)경방,000050,2018/12,,1,1956/03/03,-3.13,2.56,13.7,2.29,10.46,68.21,2.41
(주)경방,000050,2019/12,,1,1956/03/03,-9.15,1.58,-23.89,5.68,8.77,75,1.76
(주)경방,000050,2020/12,,1,1956/03/03,-10.84,2.53,17.04,-6.47,11.51,59.64,2.07
(주)경방,000050,2021/12,,1,1956/03/03,20.2,0.95,-10.4,0.15,8.58,58.36,1.92
(주)경방,000050,2022/12,,1,1956/03/03,-0.71,-0.98,0,-6.09,-0.95,50.19,-0.22
(주)경보제약,214390,2018/12,,1,2015/06/29,5.05,5.3,-26.98,8.18,6.51,48.73,6.15
(주)경보제약,214390,2019/12,,1,2015/06/29,-4.79,0.1,-59.7,7.31,2.76,59.43,2.3
(주)경보제약,214390,2020/12,,1,2015/06/29,12.3,4.62,77.94,6.49,4.37,62.27,3.83
(주)경보제약,214390,2021/12,,1,2015/06/29,-20.73,-6.64,0,-6.42,-4.39,62.65,-3.06
(주)경보제약,214390,2022/12,,1,2015/06/29,15,-1.37,0,1.5,0.31,67.39,0.26
(주)경인양행,012610,2018/12,,1,1995/10/05,14.79,3.87,1296.59,16.17,3.33,73.99,2.31
(주)경인양행,012610,2019/12,,1,1995/10/05,10.14,1.44,-35.34,10.48,1.96,89.5,1.32
(주)경인양행,012610,2020/12,,1,1995/10/05,-12.59,-4.73,0,1.32,-4.77,101.53,-2.67
(주)경인양행,012610,2021/12,,1,1995/10/05,28.85,8.73,0,19.69,6.52,121.84,4.25
(주)경인양행,012610,2022/12,,1,1995/10/05,-10.95,2.37,-57.4,-13.94,3.12,86.51,1.79
(주)광명전기,017040,2018/12,,1,1990/09/14,-7.74,3,0,-3.66,3.28,41.11,2.52
(주)광명전기,017040,2019/12,,1,1990/09/14,28.94,7.04,103.31,13.24,5.18,49.27,4.89
(주)광명전기,017040,2020/12,,1,1990/09/14,-9.98,5,-24.39,6.39,4.35,51.25,3.37
(주)광명전기,017040,2021/12,,1,1990/09/14,9.08,4.14,-6.2,0.71,3.74,46.27,3.06
(주)광명전기,017040,2022/12,,1,1990/09/14,6.09,1.96,-9.49,2,3.19,46.33,2.73
(주)광주신세계,037710,2018/12,,1,2002/02/07,-35.5,7.13,-5.75,6.29,33.35,12.17,6.67
(주)광주신세계,037710,2019/12,,1,2002/02/07,14.54,6.53,5.71,8.07,30.78,13.8,6.58
(주)광주신세계,037710,2020/12,,1,2002/02/07,-4.76,5.61,-9.46,4.25,29.26,12.34,5.62
(주)광주신세계,037710,2021/12,,1,2002/02/07,15.23,6.81,21.39,8.65,30.82,14.28,6.4
(주)광주신세계,037710,2022/12,,1,2002/02/07,8.77,5.91,8.69,7.18,30.8,15.64,6.45
(주)국동,005320,2018/12,,1,1996/12/24,5.23,8.08,0,7.42,0.99,93.3,1.73
(주)국동,005320,2019/12,,1,1996/12/24,-15.08,30.14,0,19.98,-6.02,78.21,-7.87
(주)국동,005320,2020/12,,1,1996/12/24,43.81,19.32,0,36.16,-0.53,103.36,-0.78
(주)국동,005320,2021/12,,1,1996/12/24,-33.14,22.23,0,-17.87,-1.72,36.63,-1.6
(주)국동,005320,2022/12,,1,1996/12/24,56.57,0.3,0,8.72,-0.73,48.11,-1.13
(주)국보,001140,2018/12,,1,1989/12/02,-10.36,-27.81,0,-34.69,-6.03,293.84,-7
(주)국보,001140,2019/12,,1,1989/12/02,-12.9,6.05,0,26.03,-16.9,368.02,-19.12
(주)국보,001140,2020/12,,1,1989/12/02,-8.59,154.11,0,29.07,-18.92,137.72,-15.32
(주)국보,001140,2021/12,,1,1989/12/02,0.24,9.74,0,8.75,-28.65,135.58,-19.77
(주)국보,001140,2022/12,,1,1989/12/02,9.05,25.18,0,5.08,-46.53,97.75,-32.77
(주)금양,001570,2018/12,,1,1976/12/27,0.58,57.39,4295.03,-6.95,10.63,216.15,9.99
(주)금양,001570,2019/12,,1,1976/12/27,-10.39,-28.83,0,10.56,-9.38,391.17,-7.79
(주)금양,001570,2020/12,,1,1976/12/27,-11.03,32.47,0,-6.87,-3.39,245.3,-2.47
(주)금양,001570,2021/12,,1,1976/12/27,45.14,27.47,0,45.97,0.12,295.42,0.11
(주)금양,001570,2022/12,,1,1976/12/27,3.51,60.51,0,6.57,-1.92,162.53,-1.45
(주)금호에이치티,214330,2018/12,,1,2015/11/11,14.36,34.34,30.71,57.28,3.75,75.69,3.77
(주)금호에이치티,214330,2019/12,,1,2015/11/11,17.16,37.92,-74.73,36.65,0.81,74.07,0.66
(주)금호에이치티,214330,2020/12,,1,2015/11/11,-18.29,25.47,0,5.94,-5.86,46.97,-3.28
(주)금호에이치티,214330,2021/12,,1,2015/11/11,8.91,46.61,0,25.84,-14.87,26.15,-7.79
(주)금호에이치티,214330,2022/12,,1,2015/11/11,5.97,-4.78,0,-6.52,-10.72,23.84,-5.52
(주)까뮤이앤씨,013700,2018/12,,1,1989/11/30,-32.46,0.77,-79.39,1.65,1.5,138.81,1.23
(주)까뮤이앤씨,013700,2019/12,,1,1989/11/30,143.7,19.09,676.1,18.73,4.76,138.08,8.68
(주)까뮤이앤씨,013700,2020/12,,1,1989/11/30,-42.94,16.68,-31.81,-1.57,5.69,100.83,5.49
(주)까뮤이앤씨,013700,2021/12,,1,1989/11/30,1.21,19.39,0,17.35,-1.84,97.4,-1.67
(주)까뮤이앤씨,013700,2022/12,,1,1989/11/30,19.22,-19.9,0,0.22,-8.14,146.99,-8.14
(주)나이스홀딩스,034310,2018/12,,1,2004/02/04,7.65,3.3,0,10.02,-40.83,25.88,-4.07
(주)나이스홀딩스,034310,2019/12,,1,2004/02/04,10.77,-0.48,0,3.49,11.46,30.9,1.19
(주)나이스홀딩스,034310,2020/12,,1,2004/02/04,-12.74,-6.68,0,8.01,-36.09,51.5,-3.09
(주)나이스홀딩스,034310,2021/12,,1,2004/02/04,10.96,3.34,0,-1.16,58.29,44.9,5.36
(주)나이스홀딩스,034310,2022/12,,1,2004/02/04,10.14,-7.51,0,2.72,-14.27,60.93,-1.43
(주)남선알미늄,008350,2018/12,,1,1978/05/22,-13.19,14.25,16.71,3.62,7.3,74.66,8.76
(주)남선알미늄,008350,2019/12,,1,1978/05/22,-6.63,4.43,-67.14,-0.81,2.57,65.89,2.84
(주)남선알미늄,008350,2020/12,,1,1978/05/22,-17.34,-1.3,0,-5.34,-0.92,59.1,-0.86
(주)남선알미늄,008350,2021/12,,1,1978/05/22,-14.2,-2.84,0,-0.45,-2.73,63.01,-2.27
(주)남선알미늄,008350,2022/12,,1,1978/05/22,11.03,26.33,0,5.67,1.06,36.36,0.96
(주)남성,004270,2018/12,,1,1989/11/14,-18.8,-5.12,0,-0.8,-5.51,102.96,-2.07
(주)남성,004270,2019/12,,1,1989/11/14,-9.1,3.69,0,-0.18,-3.69,95.38,-1.27
(주)남성,004270,2020/12,,1,1989/11/14,15.79,-11.96,0,-7.82,-23.94,104.57,-9.91
(주)남성,004270,2021/12,,1,1989/11/14,22.63,56.5,0,55.69,8.63,103.51,3.57
(주)남성,004270,2022/12,,1,1989/11/14,-24.19,0.81,-54.95,-7.64,5.13,86.46,1.37
(주)넥센,005720,2018/12,,1,1987/12/19,61.17,3.89,-17.96,0.99,9.12,18.24,4.74
(주)넥센,005720,2019/12,,1,1987/12/19,3.07,2.37,-64.14,-1.42,3.17,13.86,1.7
(주)넥센,005720,2020/12,,1,1987/12/19,0.32,2.59,73.96,5.44,5.5,17.01,2.91
(주)넥센,005720,2021/12,,1,1987/12/19,43.6,3.3,38.26,5.62,5.3,19.64,3.81
(주)넥센,005720,2022/12,,1,1987/12/19,45.42,4.18,16.17,1.63,4.23,16.71,4.27
(주)노루페인트,090350,2018/12,,1,2006/07/03,11.96,3.25,-28.61,2.7,2.69,90.72,2.63
(주)노루페인트,090350,2019/12,,1,2006/07/03,5.08,3.61,8.1,2.67,2.76,89,2.77
(주)노루페인트,090350,2020/12,,1,2006/07/03,-1.66,2,-27.6,4.94,2.04,94.44,1.93
(주)노루페인트,090350,2021/12,,1,2006/07/03,16.57,1.34,-11.58,0.31,1.54,92.47,1.67
(주)노루페인트,090350,2022/12,,1,2006/07/03,3.23,0.67,-25.62,-1.13,1.11,89.03,1.24
(주)노루홀딩스,000320,2018/12,,1,1973/08/10,-23.06,0.08,-61.02,-0.27,15.62,18.17,1.41
(주)노루홀딩스,000320,2019/12,,1,1973/08/10,-8.39,-0.32,-30.98,-0.15,11.77,18.37,0.98
(주)노루홀딩스,000320,2020/12,,1,1973/08/10,-35.99,-0.28,-11.21,1.45,16.33,20.43,0.86
(주)노루홀딩스,000320,2021/12,,1,1973/08/10,14.03,0.34,79.36,0.49,25.68,20.61,1.53
(주)노루홀딩스,000320,2022/12,,1,1973/08/10,-7.89,9.72,485.27,7.67,163.19,18.36,8.61
(주)녹십자,006280,2018/12,,1,1989/08/01,3.91,2.29,-12.48,0.31,4.2,49.63,3.04
(주)녹십자,006280,2019/12,,1,1989/08/01,0.41,-0.66,-75.3,10.24,1.03,66.05,0.71
(주)녹십자,006280,2020/12,,1,1989/08/01,7.13,4.85,350.11,6.9,4.34,69.3,2.96
(주)녹십자,006280,2021/12,,1,1989/08/01,-4.68,11.39,165.31,3.39,12.08,57.14,7.47
(주)녹십자,006280,2022/12,,1,1989/08/01,6.38,2.03,-61.59,0.91,4.36,55.41,2.81
(주)녹십자홀딩스,005250,2018/12,,1,1976/08/28,21.43,-0.89,-5.18,3.59,13.93,70.23,2
(주)녹십자홀딩스,005250,2019/12,,1,1976/08/28,-54.63,2.17,43.78,-6.45,44.14,55.87,2.92
(주)녹십자홀딩스,005250,2020/12,,1,1976/08/28,23.97,5.84,79.57,16.33,63.94,71.31,5.01
(주)녹십자홀딩스,005250,2021/12,,1,1976/08/28,-6.16,3.68,-29.21,-1.29,48.24,63.09,3.32
(주)녹십자홀딩스,005250,2022/12,,1,1976/08/28,-9.69,-0.29,-54.8,1.5,24.14,66.02,1.5
(주)농심,004370,2018/12,,1,1976/06/30,0.13,2.55,-5.87,3.85,4.07,27.05,3.2
(주)농심,004370,2019/12,,1,1976/06/30,2.58,1.16,-25.63,3.75,2.95,30.29,2.3
(주)농심,004370,2020/12,,1,1976/06/30,10.5,3.46,64.89,-0.11,4.41,25.8,3.72
(주)농심,004370,2021/12,,1,1976/06/30,-0.15,2.64,-23.35,2.03,3.38,25.05,2.82
(주)농심,004370,2022/12,,1,1976/06/30,13.95,3.6,8.5,5.6,3.22,27.47,2.95
(주)농심홀딩스,072710,2018/12,,1,2003/07/30,-5.08,0.84,-38.52,0.81,76.18,5.56,2.38
(주)농심홀딩스,072710,2019/12,,1,2003/07/30,0,0.17,-26.47,0.84,56.02,6.27,1.74
(주)농심홀딩스,072710,2020/12,,1,2003/07/30,6.46,0.98,44.49,-4.22,76.03,0.79,2.55
(주)농심홀딩스,072710,2021/12,,1,2003/07/30,0,0.54,-10.61,0.53,67.96,0.78,2.33
(주)농심홀딩스,072710,2022/12,,1,2003/07/30,4.04,0.6,-3.98,1.22,62.72,1.4,2.22
(주)다우기술,023590,2018/12,,1,1997/08/27,5.7,2.9,51.92,6.77,17.38,46.48,4.58
(주)다우기술,023590,2019/12,,1,1997/08/27,15.1,4.47,11.51,4.18,16.84,46.07,4.84
(주)다우기술,023590,2020/12,,1,1997/08/27,11.23,3.38,3.84,24.06,15.72,75.29,4.4
(주)다우기술,023590,2021/12,,1,1997/08/27,10.86,7.41,58.7,8.05,22.5,76.34,6.06
(주)다우기술,023590,2022/12,,1,1997/08/27,10.45,5.74,21.32,8.34,24.71,80.67,6.8
(주)다이나믹디자인,145210,2018/12,,1,2015/03/19,-24.63,-78.03,0,-23.88,-38.57,1765.77,-18.77
(주)다이나믹디자인,145210,2019/12,,1,2015/03/19,-21.99,-21.44,0,-9.92,-3.45,2039.29,-1.59
(주)다이나믹디자인,145210,2020/12,,1,2015/03/19,-27.98,815.58,0,-2.36,-78.35,128.15,-27.84
(주)다이나믹디자인,145210,2021/12,,1,2015/03/19,-35.27,-20.69,0,-16.49,-56.16,140.24,-14.25
(주)다이나믹디자인,145210,2022/12,,1,2015/03/19,13.08,19.96,0,-18.25,-208.92,63.72,-72.46
(주)대교,019680,2018/12,,1,2004/02/03,-6.78,-4.82,-52.2,-3,2.76,24.1,2.4
(주)대교,019680,2019/12,,1,2004/02/03,-0.74,-1.29,-4.32,10.47,2.66,38.88,2.22
(주)대교,019680,2020/12,,1,2004/02/03,-16.23,-10.59,0,-10.14,-5.08,39.58,-3.57
(주)대교,019680,2021/12,,1,2004/02/03,1.11,-7.58,0,-6.95,-7.87,40.52,-6.11
(주)대교,019680,2022/12,,1,2004/02/03,-0.69,-24.55,0,-19.24,-22.97,50.42,-20.33
(주)대구백화점,006370,2018/12,,1,1988/10/10,0,0,0,0,-18.46,41.05,-4.29
(주)대구백화점,006370,2019/12,,1,1988/10/10,-9.96,-7.08,0,-5.9,-19.5,42.84,-4.2
(주)대구백화점,006370,2020/12,,1,1988/10/10,-10.97,-3.13,0,-1.5,-17.31,45.24,-3.45
(주)대구백화점,006370,2021/12,,1,1988/10/10,-10.8,-1.82,0,-3.83,-3.72,42.27,-0.68
(주)대구백화점,006370,2022/12,,1,1988/10/10,-7.76,-6.51,0,-1.95,-20.66,49.21,-3.59
(주)대덕,008060,2018/12,,1,1989/01/26,15.34,88.43,636.74,84.87,44.41,14.53,30.34
(주)대덕,008060,2019/12,,1,1989/01/26,79.53,5.91,-74.23,5.66,6.38,14.26,5.86
(주)대덕,008060,2020/12,,1,1989/01/26,-99.45,-48.05,20.21,-54.18,1403.14,0.78,9.4
(주)대덕,008060,2021/12,,1,1989/01/26,139.42,0.02,-86.99,-0.45,76.24,0.31,1.95
(주)대덕,008060,2022/12,,1,1989/01/26,45.96,-3.31,0,-3.16,-36.53,0.47,-1.39
(주)대동,000490,2018/12,,1,1975/06/27,4.93,-3.35,0,-1.17,-0.77,205.83,-0.66
(주)대동,000490,2019/12,,1,1975/06/27,30.38,-5.76,0,-0.32,-1.33,223.47,-1.5
(주)대동,000490,2020/12,,1,1975/06/27,2.75,44.4,0,19.44,2.11,167.56,2.22
(주)대동,000490,2021/12,,1,1975/06/27,39,6.36,19.86,23.58,1.82,210.89,2.19
(주)대동,000490,2022/12,,1,1975/06/27,15.16,7.73,-30.36,27.75,1.1,268.66,1.21
(주)대양금속,009190,2018/12,,1,1994/04/29,-4.53,21.86,-43.64,-3.76,3.37,191.42,5.91
(주)대양금속,009190,2019/12,,1,1994/04/29,-8.15,110.66,-37.63,-1.94,2.29,35.65,3.8
(주)대양금속,009190,2020/12,,1,1994/04/29,-7.32,13.54,0,28.43,-0.46,53.44,-0.63
(주)대양금속,009190,2021/12,,1,1994/04/29,44.79,31.43,0,35.51,7.49,58.21,11.13
(주)대양금속,009190,2022/12,,1,1994/04/29,17.72,8.35,-68.14,76.66,2.03,157.94,2.23
(주)대우건설,047040,2018/12,,1,2001/03/23,-9.95,-0.6,11.15,-1.33,2.43,269.61,3.02
(주)대우건설,047040,2019/12,,1,2001/03/23,-20.7,-1.22,-96.86,7.33,0.1,301.63,0.09
(주)대우건설,047040,2020/12,,1,2001/03/23,-5.62,8.98,2173.88,-3.84,2.32,254.38,2.07
(주)대우건설,047040,2021/12,,1,2001/03/23,5.87,14.95,101.75,9.45,4.41,237.4,4.06
(주)대우건설,047040,2022/12,,1,2001/03/23,15.25,9.89,-28.63,5.18,2.73,222.94,2.7
(주)대웅,003090,2018/12,,1,1973/06/26,-12.51,2.62,9.21,2.18,25.71,5.41,3.61
(주)대웅,003090,2019/12,,1,1973/06/26,2.79,1.12,-48.67,1.2,12.84,5.49,1.82
(주)대웅,003090,2020/12,,1,1973/06/26,77.97,6.03,626.51,6.52,52.41,5.98,12.76
(주)대웅,003090,2021/12,,1,1973/06/26,9.85,12.94,5.61,11.94,50.39,5.03,12.32
(주)대웅,003090,2022/12,,1,1973/06/26,6.41,12.39,11.16,12.35,52.64,5,12.21
(주)대웅제약,069620,2018/12,,1,2002/11/01,8.86,-1.64,-95.97,2.16,0.16,99.92,0.14
(주)대웅제약,069620,2019/12,,1,2002/11/01,6.53,2.72,1265.61,2.2,2.01,98.91,1.86
(주)대웅제약,069620,2020/12,,1,2002/11/01,-6.01,4.17,-84.48,7.89,0.33,106.02,0.27
