회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
동원수산(주),030720,2022/12,22.42,20.65,10.28,-17.16,-1.15,-6.04,34.3,29.78,282.83,149.31,30.47,47.61,94.64,269.07,51.28,73.65,51.38,12.03,3.43,5.98,5.45,10.36,1328,38041.74,1.59,2.96,5.35,4.72,16.55,25.74,14.18,77.29,22.05,0.01,0,1.61,11.34,2.26,4.34,35093.95,28.82,226.11,2423.67,19.82,71.59,28.41,17.29,,1,1996/11/22
동원시스템즈(주),014820,2018/12,-20.02,-4.79,9.82,-21.88,12.32,0.61,-11.53,8.61,126.1,81.25,21.76,8.56,109.51,328.03,122.86,41.36,47.73,13.22,6.2,6.97,5.52,13.17,2079,39650.91,0.89,2,1.56,6.46,5.1,8.4,43.47,56.47,71.57,0.01,0.32,1.13,2.44,2.07,3.05,240758,21.42,59.67,154.76,23.46,51.9,48.1,26.42,,1,1994/03/29
동원시스템즈(주),014820,2019/12,1.56,2.72,6.88,-28.58,16.85,11.18,-9.28,-7.82,194.81,124.41,23.01,17.78,101.23,350.59,127.73,36.53,49.69,12.54,4.49,6.8,4.11,8.69,1485,40270.35,0.91,1.88,1.5,6.56,5.42,11.17,32.67,55.63,67.4,0.01,1.25,1.42,2.16,2.35,3.66,257460.2,22.3,55.09,137.55,24.7,52.96,47.04,18.18,,1,1994/03/29
동원시스템즈(주),014820,2020/12,3.47,8.77,6.78,34.91,13.5,9.44,7.6,1.17,100.7,66.48,12.3,0.25,103.71,374.35,130.1,36.14,49.09,14.18,5.71,8.29,5.11,10.97,2003,41668.41,0.89,1.81,1.41,7.04,5.68,11.16,32.7,51.88,64.29,0.01,0.64,1.4,1.94,2.46,3.79,293323.49,23.36,57.76,131.28,27.2,49.04,50.96,21.01,,1,1994/03/29
동원시스템즈(주),014820,2021/12,15.98,18.81,36.85,-22.54,3.96,6.42,40.7,42.2,124.01,81.42,14.38,8.29,124.24,450.18,128.28,42.79,44.6,12.44,3.85,6.69,3.5,6.95,1499,46788.31,0.91,1.95,1.51,6.7,5.94,10.29,35.47,54.49,61.45,0.01,0.43,1.22,2.08,2.29,3.48,294044.73,19.71,50.79,104.44,23.51,51.2,48.8,16.37,,1,1994/03/29
동원시스템즈(주),014820,2022/12,14.88,-2.7,9.82,81.42,2.68,5.61,-13.82,3.5,130.74,76.82,12.08,8.91,98.96,497.72,123.55,37.9,50.26,11.33,5.03,6.42,4.91,10.4,2472,48924.63,0.98,2.06,1.64,6.44,6.24,10.88,33.55,56.67,58.52,0.01,0.56,1.35,2.31,2.42,3.87,328106.58,22.6,58.62,126.18,22.83,48.18,51.82,22.05,,1,1994/03/29
동일고무벨트(주),163560,2018/12,1.22,4.88,5.8,837.25,-0.54,-0.35,9.72,6.86,189.52,151.39,49.03,25.69,52.25,2878.42,69.46,54.38,65.68,16.85,3.91,4.37,3.7,5.65,791,20227.61,0.95,1.45,2.02,8.72,3.36,9.76,37.4,41.87,108.6,0.01,0.43,1.15,2.1,1.78,2.23,57219.1,20.09,47.74,287.46,21.76,67.09,32.91,17.98,,1,2012/10/19
동일고무벨트(주),163560,2019/12,-0.4,-1.21,3.42,-19.56,-0.34,-1.55,-0.92,-11.15,214.69,175.96,46.57,29.14,45.44,2898.7,66.12,54.54,68.76,17.72,3.16,5.12,2.92,4.35,620,19618.72,0.93,1.38,2.03,8.9,3.16,10.9,33.49,41.01,115.54,0.01,0.86,1.13,2.1,1.7,2.1,53229.93,18.92,44.11,290.21,20.32,64.37,35.63,15.55,,1,2012/10/19
동일고무벨트(주),163560,2020/12,-7.15,-2,3.31,-12.08,-1.29,-2.01,-1.99,-14.29,253.67,213.65,85.66,33.04,37.96,2928.91,62.71,54.54,72.48,18.56,2.99,5.32,2.61,3.7,533,17815.52,0.87,1.24,1.92,9.46,3.11,11.98,30.47,38.59,117.47,0.01,1.71,1.12,1.97,1.6,1.93,48492.23,17.58,40.3,261.22,19.94,70.35,29.65,15.01,,1,2012/10/19
동일고무벨트(주),163560,2021/12,0,0,0,0,0,0,0,0,191.73,153.8,38.89,25.83,50.13,2928.66,69.08,53.99,66.61,16.7,2.19,0.3,1.93,2.98,436,19964.93,0.88,1.33,1.92,8.28,3.07,14.77,24.72,44.08,118.86,0.01,0,1.08,2.05,1.64,2.04,47479.07,15.13,35.54,233.32,17.11,74.42,25.58,12.77,,1,2012/10/19
