회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
램테크놀러지(주),171010,2019/12,33.09,39.28,88.24,111.71,-3.7,-4,172.87,13.16,165.26,123.76,99.16,18.93,88.26,536.52,98.02,47.93,53.12,20.23,7.31,7.82,5.51,11.64,276,3787.66,0.75,1.59,1.22,5.71,16.26,74.84,4.88,63.9,22.45,0.01,0,1,1.33,1.98,3.02,12867.42,19.19,40.34,217.81,29.64,45.37,54.63,24.67,,5,2013/11/18
램테크놀러지(주),171010,2020/12,-1.5,-3.74,9.71,-21.45,19.78,20.41,-29.97,-5.55,148.1,97.94,71.59,11.33,65.19,587.03,107.58,34.87,60.54,17.55,5.83,4.06,3.79,6.68,187,3215.39,0.65,1.15,1.11,5.45,15.01,70.95,5.14,66.97,24.32,0.01,0,0.96,1.21,1.57,2.2,11938.72,18.5,31.84,194.87,27.92,53.78,46.22,20.88,,5,2013/11/18
램테크놀러지(주),171010,2021/12,13.62,8.19,10.57,26.78,1.34,2.64,18.54,34.56,104.12,64.09,37.58,1.51,61.62,633.13,99.87,38.21,61.87,21.32,6.51,6.71,4.71,7.68,237,3650.33,0.72,1.18,1.14,5.44,13.81,59.99,6.08,67.15,26.43,0.01,0,1.08,1.26,1.98,3.1,13212.01,18.92,36.26,247.4,27.19,47.95,52.05,23.92,,5,2013/11/18
램테크놀러지(주),171010,2022/12,37.96,18.49,19.49,91.7,9.32,8.16,35.19,49.19,122.85,70.73,29.62,8.11,60.27,734.32,90.4,43.6,62.4,20.84,9.04,9.21,7.94,12.78,436,4767.56,0.88,1.41,1.49,5.25,14.37,42.38,8.61,69.59,25.41,0.01,0,1.14,1.65,2.14,3.61,18488.42,22.35,49.99,351.99,27.59,41.29,58.71,32.77,,5,2013/11/18
럭슬(주),033600,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/08/11,4,2000/11/21
레이저쎌(주),412350,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2022/06/24
레이저쎌(주),412350,2022/12,0,0,0,0,0,0,0,0,948.73,833.74,258.49,62.06,8.17,835.26,33.13,69.37,92.44,27.47,-68.48,-12.51,-10.85,-11.74,-539,716.01,0.16,0.17,0.52,1.88,6.34,13.34,27.37,193.64,57.59,0,0,0.21,3.49,0.23,0.26,-1827.78,-4.8,-120.98,-194.55,-30.3,0,0,0,,5,2022/06/24
로스웰인터내셔널유한회사,900260,2018/12,-29.87,-1.57,5,-57.75,83.54,82.17,-10.64,-20.46,369.88,352.23,79.18,59.77,31.87,190,23.85,81.92,75.83,24.39,9.37,5.98,4.58,6.23,141,1493.3,0.49,0.66,3.51,11.16,0.81,6.03,60.58,32.71,452.49,0,0.17,0.44,3.73,0.57,0.6,28460.59,10.33,124.34,513.46,20.99,27.27,72.73,44.64,,5,2016/06/30
로스웰인터내셔널유한회사,900260,2019/12,-27.91,20.33,23.04,-78.16,-2.96,9.38,22.75,-42.25,374.23,365.83,209.32,61.23,28.97,168.73,21.2,83.56,77.54,19.57,2.84,1.74,0.91,1.19,25,1076.46,0.32,0.42,1.87,11.51,0.83,5.02,72.7,31.71,439.28,0,0.14,0.31,2.11,0.39,0.4,15259.3,4.6,73.54,357.43,15.61,43.01,56.99,18.18,,5,2016/06/30
로스웰인터내셔널유한회사,900260,2020/12,-40.75,-8,-29.37,0,23.93,8.98,-11.34,-1.14,294.09,286.73,163.93,53.15,68.01,118.29,32.71,80.53,59.52,25.82,-130.8,-0.83,-23.81,-34.55,-538,408.4,0.18,0.26,1.02,9.37,0.8,3.75,97.37,38.96,456.21,0,0.16,0.17,1.13,0.22,0.23,-62041.91,-20.35,-149.79,-1707.06,-107.15,0,0,0,,5,2016/06/30
로스웰인터내셔널유한회사,900260,2021/12,-49.11,-7.08,15.85,0,6.17,6.1,-10.27,73.32,351.78,334.77,281.65,55.66,34.76,112.44,29.96,77.77,74.2,31.33,-17.78,-0.42,-1.78,-2.67,-34,207.83,0.1,0.15,0.48,3.51,0.86,4.26,85.6,104.02,424.54,0,9.53,0.1,0.51,0.13,0.13,5341.99,1.89,8.95,150.73,18.13,85.12,14.88,-98.06,,5,2016/06/30
로스웰인터내셔널유한회사,900260,2022/12,188.77,-1.52,-6.57,0,17.27,16.69,-6.73,140.9,364.07,318.61,243.58,53.42,42.04,107.85,37.42,73.66,70.4,8.33,-18.98,-2.03,-5.75,-7.94,-450,472.32,0.3,0.42,1.25,4.69,3.62,3.53,103.29,77.87,100.92,0.01,0.21,0.31,1.3,0.4,0.44,-4175.6,-1.5,-6.5,-32.44,-4.91,0,0,0,,5,2016/06/30
로체시스템즈(주),071280,2018/12,-78.04,11.04,-4.05,-140.96,46.33,40.77,-5.21,-13.71,400.39,288.26,180.11,41.42,46.38,844.24,65.57,55.21,68.32,10.58,-1.84,-0.97,-1.51,-2.06,-91,4837.57,0.82,1.12,2.04,4.69,6.63,13.52,27,77.8,55.07,0.01,0,1.09,2.36,1.38,1.96,12945.32,13.7,51.55,1061.33,17.49,102.17,-2.17,-10.5,,5,2003/11/14
로체시스템즈(주),071280,2019/12,7.81,27,1.24,0,65.7,51.35,7.24,-9.71,206.21,157.59,49.77,24.01,83.62,854.72,98.03,46.61,54.46,18.37,1.5,4.19,1.12,1.84,80,5215.55,0.74,1.23,1.5,5.74,4.19,35.62,10.25,63.61,87.11,0.01,0,1.08,1.62,1.48,1.99,20042.85,16.7,32.93,292,25.12,70.77,29.23,5.97,,5,2003/11/14
로체시스템즈(주),071280,2020/12,125.88,-1.27,12.29,600.17,-18.47,15.31,-20.26,1.51,126.49,88.53,43.94,7.89,61.44,959.81,100.65,37.65,61.94,12.62,4.65,7.83,7.03,12.08,562,11781.03,1.51,2.6,2.61,13.56,9.07,41.7,8.75,26.92,40.22,0.02,0,2.21,3.22,3.58,4.87,32275.81,27.23,65.17,345.66,17.91,52.36,47.64,25.96,,5,2003/11/14
로체시스템즈(주),071280,2021/12,0,0,0,0,0,0,0,0,207.62,150.81,93.47,29.4,47.84,1092.62,64,56.71,67.64,24.93,8.58,10.86,7.65,11.32,634,7204.22,0.89,1.32,2.06,5.75,7.1,8.05,45.33,63.5,51.4,0.01,0.21,1.06,2.28,1.57,2.17,36505.36,29.55,75.72,470.76,33.13,53.2,46.8,25.91,,5,2003/11/14
로체시스템즈(주),071280,2022/12,31.19,8.27,25.01,114.13,2.95,6.65,9.5,41.06,283.13,183.33,99.48,37.1,28.05,1365.84,54.6,57.36,78.1,26.92,14.01,20.61,15.74,21.54,1358,9451.52,1.12,1.54,2.62,6.26,8.74,10.59,34.48,58.34,41.77,0.02,0.23,1.39,2.95,1.97,2.87,48878.87,36.54,103.68,777.31,33.81,37.52,62.48,41.43,,5,2003/11/14
리노공업(주),058470,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/12/18
리노공업(주),058470,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/12/18
리노공업(주),058470,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/12/18
리노공업(주),058470,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/12/18
리노공업(주),058470,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2001/12/18
마이크로로봇(주),182690,2018/12,8.77,30.2,-47.65,0,78.92,74,-19.25,-10.34,51.19,41.68,7.94,-27.78,264.87,78,258.59,29.13,27.41,-39.83,-73.86,-36.98,-36.85,-81.68,-471,627.49,0.5,1.11,0.79,7.7,4.11,52.86,6.91,47.37,88.76,0.01,0,0.62,0.87,1.35,1.64,-1677.52,-8.44,-13.06,-22.49,-19.14,0,0,0,,6,2014/10/30
마이크로로봇(주),182690,2019/12,40.92,32.48,113.06,0,-9.36,-2.24,116.94,-68.58,117.34,114.18,91.48,7.05,126.88,109.67,118.66,47.7,44.08,-15.4,-40.66,-18.04,-21.74,-58.9,-348,884.27,0.53,1.45,0.89,17.48,6.47,67.56,5.4,20.88,56.42,0.01,0,0.61,1.01,1.35,1.46,5822.92,22.12,49.98,93.52,47.15,101.13,-1.13,-86.23,,6,2014/10/30
마이크로로봇(주),182690,2020/12,41.81,112.34,131.06,0,-21.81,259.18,-48.67,-61.16,62.77,61.49,3.04,-6.84,108.49,253.39,184.45,11.53,47.96,18.22,-18.06,-1.23,-7.69,-16.47,-149,827.57,0.43,0.91,0.55,74.68,4.78,23.42,15.58,4.89,76.44,0.02,0.02,0.88,1.69,1.84,1.89,7468.89,13.36,81.99,177.14,42.65,66.5,33.5,-42.35,,6,2014/10/30
마이크로로봇(주),182690,2021/12,-69.91,-7.69,-29.14,0,-54.92,-14.15,41.93,0,106.74,106.74,0.69,1.12,171.6,179.56,223.46,17.73,36.82,-8.37,-145.96,-14.09,-14.31,-33.58,-363,248.99,0.1,0.23,0.11,80.32,1.84,4.08,89.38,4.54,198.35,0.01,0.01,0.31,0.8,0.68,0.68,255.04,0.49,6.21,8.53,4.84,775.6,-675.6,-3015.82,,6,2014/10/30
매일유업(주),267980,2018/12,0,0,0,0,0,0,0,0,189.15,128.7,34.82,26.65,77.46,8846.92,77.12,56.54,56.35,28.22,4.49,12.43,9.47,16.81,7545,165813.46,2.11,3.75,4.86,11.69,8.76,18.32,19.92,31.23,41.67,0.02,0.47,2.44,5.74,3.74,5.49,243739.68,39.59,112.75,290.59,18.74,56.98,43.02,23.93,,5,2017/06/05
매일유업(주),267980,2019/12,7.13,9.66,16.33,10.28,0.95,5.88,12.57,4.48,182.57,128.41,39.29,26.25,67.28,10292.02,70.18,58.04,59.78,29.39,4.62,13.57,9.97,17.14,8206,177628.87,2.16,3.71,5.06,12.25,9.22,19.27,18.94,29.8,39.57,0.02,0.45,2.45,6.12,3.77,5.44,264735.09,39.21,120.36,304.5,19,55.17,44.83,24.3,,5,2017/06/05
매일유업(주),267980,2020/12,5.01,10.31,9.04,-10.39,9.14,5.38,13.88,24.82,207.13,139.78,31.93,30.99,69.23,11222.63,67.82,59.92,59.09,29.37,3.94,12.47,8.12,13.67,7498,186532.81,2.06,3.47,5.03,11.2,9.26,19.02,19.19,32.6,39.42,0.02,0.7,2.31,6.11,3.49,5.07,266112.74,35.73,112.87,253.24,18.19,56.25,43.75,21.67,,5,2017/06/05
매일유업(주),267980,2021/12,6.07,31.8,12.99,28.78,8.85,13.94,43.76,20.56,326.35,237.35,61.1,45.33,97.41,12680.13,68.39,65.35,50.66,29.85,4.78,10.57,8.6,15.84,9820,197850.74,1.8,3.31,4.86,9.7,10.23,17.77,20.54,37.64,35.67,0.02,0.46,2.07,5.95,2.85,4.04,294000.47,29.95,118.62,272.88,18.94,53.34,46.66,25.25,,5,2017/06/05
매일유업(주),267980,2022/12,8.62,-0.71,-0.2,-80.61,0.78,10.2,-6.49,34.33,225.46,137.14,29.56,34.25,96.2,12654.72,75.44,61.55,50.97,28.8,0.86,6.8,1.48,2.9,1966,214905.89,1.72,3.39,4.72,8.22,11.25,17.3,21.1,44.39,32.44,0.02,0.46,1.98,6.18,2.72,4.05,224297.08,23.01,85.7,183.39,13.31,71.71,28.29,6.43,,5,2017/06/05
매일홀딩스(주),005990,2018/12,-9,-4.3,8.02,4114.52,9.38,7.44,-14.47,-22.17,169.54,119.13,31.7,19.65,64.5,3975.85,85.7,47.9,60.79,30.51,4.23,8.03,7.26,9.68,1930,108670.23,1.72,3.02,3.49,10.79,8.62,16.1,22.67,33.82,42.36,0.02,0.3,2.08,4.99,3.38,4.92,292264.33,34.43,97.14,329.61,19.6,60.15,39.85,21.56,,5,1999/05/14
매일홀딩스(주),005990,2019/12,6.71,12.67,6.81,-11.15,-0.89,4.93,21.07,4.73,167.31,124.28,35.38,20.71,66.68,4246.67,80.87,51.48,60,31.91,4.23,9.67,7.45,8.01,1728,115958.39,1.76,2.92,3.51,12.85,9.82,20.23,18.04,28.4,37.19,0.02,0.41,2.22,5.12,3.54,4.88,324421.5,33.92,109.13,354.2,20.39,55.83,44.17,20.72,,5,1999/05/14
매일홀딩스(주),005990,2020/12,4.46,6.31,-1.46,-91.28,8.6,4.68,7.85,24.93,173.65,121.92,27.29,22.15,72.64,4184.81,82.48,52.23,57.93,31.87,2.48,8.7,4.18,0.68,154,121126.5,1.68,2.86,3.5,11.67,9.82,19.7,18.53,31.28,37.17,0.02,0.56,2.05,5.15,3.25,4.5,311594.25,30.64,97.44,282.66,18.75,60.56,39.44,13.25,,5,1999/05/14
매일홀딩스(주),005990,2021/12,8.73,23.59,15.5,2203.8,7.6,11.34,34.81,15.15,269.53,200.94,52.09,35.83,88.38,4833.35,81.07,56.96,53.08,32.3,5.34,8.53,8.48,14.67,3575,131702.54,1.59,2.88,3.52,10.62,11.1,18.74,19.48,34.38,32.89,0.02,0.34,1.99,5.18,2.9,3.99,389508.88,30.99,116.88,348.85,21.56,50.57,49.43,24.76,,5,1999/05/14
매일홀딩스(주),005990,2022/12,9.55,1.18,1.94,-85.64,2.3,10.86,-6.14,33.9,185.91,118.43,26.86,24.42,89.96,4926.9,89.57,52.85,52.64,32.24,0.85,6.17,1.33,1.95,520,144278.87,1.57,2.96,3.47,9.29,12.14,18.01,20.27,39.29,30.07,0.02,0.29,1.96,5.41,2.85,4.12,313122.99,24.63,88.45,247.46,15.82,70.47,29.53,5.38,,5,1999/05/14
메가스터디(주),072870,2018/12,1.87,8.49,8.13,0,15.75,-5.35,30.07,-8.56,289.04,281.57,114.47,30.64,25.75,4339.42,66.83,46.85,79.53,52.58,17.69,3,6.76,9.12,1915,11287.33,0.38,0.48,0.67,28.98,9.57,21.25,17.18,12.6,38.15,0.03,0.06,0.65,4.16,0.89,0.91,65427.77,17.86,189.98,823.36,48.62,48.02,51.98,36.39,,5,2004/12/21
