,회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),원재료(부재료)(IFRS연결)(천원),"선급공사비,외주비(IFRS연결)(천원)",매출액(수익)(*)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),법인세비용(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원)
73,LG이노텍(주),11070,2020/06,5738908891.0,729365207.0,3445413441.0,2435647834.0,1914886905.0,120314000.0,0.0,3550743446.0,123824083.0,35660585.0,88163498.0
74,LS일렉트릭(주),10120,2020/06,2549038324.0,575380416.0,1172454741.0,1675723561.0,591188655.0,80181685.0,0.0,1233877068.0,64636579.0,19274540.0,45467820.0
75,OCI(주),10060,2020/06,4570546443.0,412794994.0,1969739237.0,1909953418.0,982008177.0,108876566.0,0.0,970236639.0,-134048664.0,-37946703.0,-96119817.0
76,SK이노베이션(주),96770,2020/06,39264687863.0,4131794323.0,23432303573.0,15044771493.0,11621735336.0,867241000.0,0.0,18362579444.0,-2527601395.0,-629612255.0,-1897989140.0
77,고려아연(주),10130,2020/06,7950906825.0,868495531.0,1079597905.0,4516186174.0,789130363.0,426277609.0,0.0,3354627243.0,358003501.0,105106941.0,252896560.0
78,그랜드코리아레저(주),114090,2020/06,800257623.0,124819038.0,256647660.0,347972944.0,141810670.0,0.0,0.0,134769547.0,-9096595.0,-255835.0,-8840760.0
79,금호석유화학(주),11780,2020/06,4667229474.0,491336741.0,1897722217.0,1442832496.0,1189842449.0,99454000.0,0.0,2251743317.0,265699370.0,61663413.0,227363457.0
80,금호타이어(주),73240,2020/06,3815131716.0,78557001.0,2635755848.0,1045394281.0,916558842.0,76597000.0,0.0,956288691.0,-110064503.0,21875107.0,-131939610.0
81,기아(주),270,2020/06,58339974000.0,6692576000.0,29437889000.0,23799689000.0,19403021000.0,890116000.0,0.0,25935741000.0,493304000.0,101026000.0,392278000.0
82,네이버(주),35420,2020/06,14675445319.0,3711105880.0,6717594050.0,7081905383.0,4562847927.0,0.0,0.0,3634532420.0,429637169.0,204080383.0,225556786.0
83,넷마블(주),251270,2020/06,7298141217.0,740394195.0,2047033042.0,1521841495.0,1613361206.0,0.0,0.0,1218638562.0,138715912.0,-4005503.0,142721415.0
84,대상(주),1680,2020/06,2682773531.0,604328510.0,1578937137.0,1344570443.0,920572180.0,113628000.0,0.0,1537707165.0,139798766.0,51490251.0,88308515.0
85,대우조선해양(주),42660,2020/06,11168858003.0,1464245336.0,7118715729.0,6747880428.0,4671722742.0,266069900.0,6489000.0,3923929025.0,295009336.0,1002202.0,294007134.0
86,대한유화(주),6650,2020/06,2038472113.0,199615418.0,251472497.0,500445871.0,90002176.0,53967686.0,0.0,935511298.0,32313090.0,8430158.0,23882933.0
87,대한전선(주),1440,2020/06,1163592610.0,132629737.0,843746268.0,653003349.0,803311082.0,0.0,0.0,794115591.0,10740135.0,3119483.0,7468259.0
88,동국제강(주),1230,2020/06,5315602986.0,334559306.0,3262246287.0,1738517274.0,2658475637.0,248821036.0,0.0,2530276434.0,-36372863.0,22191670.0,-58564533.0
