date,number
"Thursday, Sep 13, 2012",-5.50
"Friday, Sep 21, 2012",-0.90
"Monday, Oct  1, 2012",-6.40
"Monday, Oct  8, 2012",8.20
"Tuesday, Oct 16, 2012",16.20
"Wednesday, Oct 24, 2012",9.90
"Thursday, Nov  1, 2012",13.20
"Friday, Nov  9, 2012",12.40
"Friday, Nov 16, 2012",6.10
"Monday, Nov 26, 2012",10.20
"Monday, Dec  3, 2012",15.30
"Tuesday, Dec 11, 2012",26.20
"Wednesday, Dec 19, 2012",24.00
"Thursday, Dec 27, 2012",18.80
"Friday, Jan  4, 2013",13.10
"Friday, Jan 11, 2013",4.80
"Monday, Jan 21, 2013",4.40
"Monday, Jan 28, 2013",17.30
"Tuesday, Feb  5, 2013",6.10
"Wednesday, Feb 13, 2013",14.60
"Thursday, Feb 21, 2013",6.20
"Friday, Mar  1, 2013",12.70
"Friday, Mar  8, 2013",15.60
"Monday, Mar 18, 2013",13.80
"Monday, Mar 25, 2013",7.60
"Tuesday, Apr  2, 2013",-6.20
"Wednesday, Apr 10, 2013",-9.40
"Thursday, Apr 18, 2013",-19.30
"Friday, Apr 26, 2013",-36.30
"Friday, May  3, 2013",-28.60
"Monday, May 13, 2013",-26.80
"Monday, May 20, 2013",-29.10
"Tuesday, May 28, 2013",-27.50
"Wednesday, Jun  5, 2013",-24.60
"Thursday, Jun 13, 2013",-11.40
"Friday, Jun 21, 2013",1.80
"Friday, Jun 28, 2013",10.40
"Monday, Jul  8, 2013",8.50
"Monday, Jul 15, 2013",9.50
"Tuesday, Jul 23, 2013",15.40
"Wednesday, Jul 31, 2013",23.80
"Thursday, Aug  8, 2013",40.20
"Friday, Aug 16, 2013",36.60
"Friday, Aug 23, 2013",33.80
"Monday, Sep  2, 2013",33.10
"Monday, Sep  9, 2013",41.10
"Wednesday, Sep 18, 2013",32.80
"Thursday, Sep 26, 2013",32.10
"Friday, Oct  4, 2013",29.70
"Friday, Oct 11, 2013",20.50
"Monday, Oct 21, 2013",11.90
"Monday, Oct 28, 2013",6.40
"Tuesday, Nov  5, 2013",0.90
"Wednesday, Nov 13, 2013",10.20
"Thursday, Nov 21, 2013",5.10
"Friday, Nov 29, 2013",3.40
"Friday, Dec  6, 2013",16.20
"Monday, Dec 16, 2013",18.10
"Monday, Dec 23, 2013",23.80
"Tuesday, Dec 31, 2013",28.30
"Wednesday, Jan  8, 2014",32.60
"Thursday, Jan 16, 2014",34.30
"Friday, Jan 24, 2014",37.00
"Friday, Jan 31, 2014",29.90
"Monday, Feb 10, 2014",18.50
"Monday, Feb 17, 2014",13.50
"Tuesday, Feb 25, 2014",-8.30
"Wednesday, Mar  5, 2014",-8.90
"Thursday, Mar 13, 2014",-8.20
"Friday, Mar 21, 2014",-11.10
"Friday, Mar 28, 2014",-12.70
"Monday, Apr  7, 2014",-24.70
"Monday, Apr 14, 2014",-24.10
"Tuesday, Apr 22, 2014",-22.10
"Wednesday, Apr 30, 2014",-25.00
"Thursday, May  8, 2014",-16.20
"Friday, May 16, 2014",-10.20
"Friday, May 23, 2014",-4.20
"Monday, Jun  2, 2014",-11.60
"Monday, Jun  9, 2014",-16.80
"Tuesday, Jun 17, 2014",-18.10
"Wednesday, Jun 25, 2014",-19.10
"Thursday, Jul  3, 2014",-15.00
"Friday, Jul 11, 2014",-24.80
"Friday, Jul 18, 2014",-24.50
